店號,店名,地址
110079,竹秀,南投縣竹山鎮集山路二段58號
110208,集寶,南投縣集集鎮八張街75號
110219,國寶,南投縣草屯鎮中正路557之26號
111005,前山,南投縣竹山鎮集山路三段1089號
111544,向日葵,南投縣草屯鎮芬草路三段219-1號
113274,台一,南投縣埔里鎮中山路一段149號
113687,六合,南投縣水里鄉民生路175號1樓
114680,恆吉,南投縣埔里鎮南興街172號
120261,埔德,南投縣埔里鎮仁愛路450之2號1樓
121091,愛蘭,南投縣埔里鎮鐵山路36號1樓
121574,福元,南投縣草屯鎮中正路885號1樓
121736,草鞋鐓,南投縣草屯鎮中正路344之30號
122441,水社,南投縣魚池鄉中興路32之3號1樓
124540,狀元,南投縣竹山鎮大明路500號
126292,埔惠,南投縣埔里鎮大城里中山路三段546號1樓
126351,鑫永安,南投縣草屯鎮御史里登輝路558號
126764,祖祠,南投縣南投市祖祠路16-4號
127011,中禪,南投縣埔里鎮西安路一段306號1樓
127538,國泰,南投縣草屯鎮中正路636號1樓及和興街93號1樓
131825,日月潭,南投縣魚池鄉水社村中山路118號
132161,竹寶,南投縣竹山鎮延正里延正路45之30號1樓
136370,清境,南投縣仁愛鄉定遠新村26之1號
137823,長崗,南投縣南投市南崗二路581號
138011,信義鄉,南投縣信義鄉明德村玉山路82-2號
138952,京埔,南投縣草屯鎮南埔里中正路254-10號
139070,水里,南投縣水里鄉中山路一段63號
140852,南投,南投縣南投市民族路289號291號293號
141615,和雅,南投縣鹿谷鄉廣興村中正一路225號
144212,龍揚,南投縣埔里鎮樹人路221之2號
151645,龍辰,南投縣南投市中學西路61號
153652,恩泉,南投縣仁愛鄉南豐村中正路88附1號
153663,埔灃,南投縣埔里鎮中山路二段108號中華路184之2號
154530,鴻寶,南投縣草屯鎮民權西路221號
155289,鑫潭,南投縣埔里鎮中山路四段97之1.97之2號
155441,鳳凰谷,南投縣鹿谷鄉中正路三段63號
160144,集利,南投縣集集鎮吳厝里民生路65-1號
163501,樂天,南投縣南投市南陽路476號
164191,龍泰,南投縣草屯鎮碧興路一段798-1號
164401,名間,南投縣名間鄉彰南路71之5號
164412,雅集,南投縣名間鄉員集路137號
174017,猴探井,南投縣南投市八德路600之1號
179908,中心園,南投縣埔里鎮中山路一段427號1樓
181303,合廣,南投縣草屯鎮碧山路307.309號
181370,城堡,南投縣仁愛鄉仁和路171號
183332,京鑫,南投縣草屯鎮中正路483號
183929,興荷,南投縣南投市營北里向陽路101號
187518,鹿山,南投縣竹山鎮延祥里集山路三段73號
187828,福新,南投縣草屯鎮虎山路495號497號
188348,鑫魚池,南投縣魚池鄉魚池街799號
192646,育溪,南投縣埔里鎮安七街89-1號
193074,鑫驛,南投縣埔里鎮中山路四段106號
193085,穀昌,南投縣名間鄉彰南路450號
193971,鈺興,南投縣竹山鎮集山路三段912.914號
195357,龍星,南投縣草屯鎮復興里碧山路731之5號
195782,欣鑫,南投縣南投市仁和路26號
196006,埔安,南投縣埔里鎮西安路一段409-1號
196372,墩煌,南投縣草屯鎮芬草路三段36號
196408,鄉親寮,南投縣中寮鄉永安街79之1號1樓
199500,南豐,南投縣南投市民族路66號
200295,鑫中潭,南投縣魚池鄉通文巷6-28號
882079,龍寶,南投縣水里鄉民權路170號
894315,龍巳,南投縣南投市東山路408號
898351,南崗,南投縣南投市民族路515號
900614,新鹿谷,南投縣鹿谷鄉仁義路148號
901776,東東,南投縣埔里鎮忠孝路138-140號
902562,佳軒,南投縣魚池鄉魚池街350號
902997,暨大,南投縣埔里鎮大學路501號
913229,中營,南投縣南投市中華路130號
913355,新國姓,南投縣國姓鄉國姓村中興路301號
922290,和育,南投縣竹山鎮大智路57號
923466,豐億,南投縣南投市彰南路一段573號
923765,見晴園,南投縣仁愛鄉大同村定遠新村路18-1號
931168,社寮,南投縣竹山鎮集山路一段2051號
931180,常春藤,南投縣南投市工業路33號
932367,埔慶,南投縣埔里鎮中山路三段168號170號
940092,詠旭,南投縣南投市彰南路一段1031-1號
941741,瑞峰,南投縣水里鄉北埔村中山路一段540號
950561,竹山大,南投縣竹山鎮中山里自強路176號
954415,合心,南投縣名間鄉中山村彰南路218-32號
954596,登瀛,南投縣草屯鎮新庄里博愛路1012號
958691,佑民,南投縣草屯鎮太平路一段221號
966832,稻豐,南投縣草屯鎮新豐路351號
969037,伊達邵,南投縣魚池鄉日月村義勇街89號
970510,富嘉,南投縣仁愛鄉仁和路223-1號
970716,宏旺,南投縣南投市復興路38號
971362,暨大二,南投縣埔里鎮大學路1號(人文學院)
972804,小瑞士,南投縣仁愛鄉定遠新村28號
977577,敦和,南投縣草屯鎮仁愛街197號
977706,豐登,南投縣埔里鎮枇杷里中正路183-23號
981222,和社,南投縣信義鄉同和巷8號1樓
981956,唯鑫,南投縣南投市南崗三路8號2樓
982306,勝財興,南投縣埔里鎮榮光路1-11號
991986,中翔,南投縣埔里鎮中正路704號
992185,旺泉,南投縣南投市中興路198號
992956,霧社,南投縣仁愛鄉仁和路43號45號1樓
993052,埔佑,南投縣埔里鎮中華路116號1樓
993203,中銘,南投縣埔里鎮西安路一段104號
993672,康壽,南投縣南投市復興路311號1樓
