店號,店名,地址
110035,一勝,台中市大肚區福山村沙田路一段432-1號
110172,樂東,台中市東區東英路331號
110736,東園,台中市烏日區溪南路一段375號
110884,桂冠,台中市西屯區四川路120號1樓
110987,淡溝,台中市北區淡溝里民權路361號1樓
111027,瑞城,台中市大里區瑞城一街1號
111142,漢溪,台中市東區十甲東路575號1樓
111212,軍福,台中市北屯區軍功路一段500號
111393,嶺中,台中市南屯區永春南路58號
111485,熱陽,台中市北屯區熱河路二段217號
111717,鎮權,台中市沙鹿區鎮南路二段107號109號
111865,東泰,台中市東勢區東蘭路41-5號
111876,倍沅,台中市神岡區中山路473號
111979,喬城,台中市大里區大智路567號
112134,后興,台中市后里區甲后路一段1202號1樓
112145,中興嶺,台中市新社區中興嶺172之2號
112190,寶慶,台中市西屯區西屯路二段256巷8號10號
112204,興城,台中市大里區塗城路765號
112237,詠權,台中市南區五權南路527號
112570,環雅,台中市大雅區雅環路二段320號一樓
112639,美村,台中市西區美村路一段542號546號
112651,科安,台中市西屯區國安一路105號107號109號一樓
113001,港強,台中市西屯區福科路295號一樓
113252,后里廠,台中市后里區馬場路1號
113333,翁子,台中市豐原區豐勢路一段669號一樓
113425,富仁,台中市東區富榮街2號1樓
113469,汶莊,台中市北區中清路一段102號1樓
113595,神洲,台中市神岡區神洲路332號
113997,易鴻,台中市霧峰區柳豐路422號1樓
114048,福寶,台中市北屯區陳平路50號52號1樓
114152,鄉林夏,台中市西區忠明南路117號1樓
114303,生活,台中市南區復興路二段71巷70號1樓及忠明南路730巷17號1樓
114369,天佑,台中市西屯區中工二路196號198號1樓
114624,佳積,台中市大雅區科雅六路1號
114691,環太,台中市大雅區雅環路一段330號
114727,同榮,台中市北屯區同榮路161號1樓
115926,航發,台中市西屯區河南路二段242號
116505,弘光,台中市沙鹿區晉江里台灣大道六段1018號
116756,新甲后,台中市外埔區甲后路三段1025號
116790,甜心,台中市豐原區圓環東路168號
117830,興春,台中市南屯區永春東路96號
118497,中川,台中市西屯區台灣大道二段938號940號
118545,興學,台中市南區學府路64號
118659,精業,台中市西區精誠路41號之6之7
118796,新國光,台中市南區國光路82及84號;愛國街69號
118969,光輝,台中市南區美村路二段79號81號1F
119065,黎明東,台中市南屯區黎明東街22號
119652,中醫,台中市北區育德路13號
119803,豐鑫,台中市豐原區向陽路276號
120146,瑞聯,台中市西屯區福科路890號1樓
120157,蔣公,台中市大甲區蔣公路221號
120168,尚仁,台中市西屯區上仁街139號
120179,港中,台中市梧棲區中央路一段666之28號
120582,潭榮,台中市潭子區榮興街19號1樓21巷1號21巷3號1樓
120847,烏日,台中市烏日區新興路247號
120939,忠權,台中市北區忠明路426號1樓
121286,科邦,台中市大雅區科雅一路8號5樓
121301,廣洽,台中市龍井區西濱路三段247號
121345,鈦譜,台中市龍井區龍門路48之15號
122197,逢大二,台中市西屯區福星北路98號1樓
122418,福廣,台中市大雅區中山路1號3號5號1樓
122809,豐村,台中市豐原區南村里豐東路412號416號1樓
122913,通山,台中市大雅區永和路11號18號
123086,龍田,台中市龍井區田中里臨港東路一段75號
123248,樹廣,台中市太平區樹德路98-9號
123293,新社,台中市新社區興社街四段27之1號
123569,尚晉,台中市太平區新平路三段1號1樓
124539,中榮,台中市西屯區台灣大道四段1650號1樓
125118,晉豐,台中市豐原區西勢路425號
125314,鹿心,台中市沙鹿區興仁里四平街58號
126306,一江橋,台中市太平區東平路1號
126720,天仁,台中市沙鹿區斗抵里沙田路17之19號
127066,玉豐,台中市大里區東榮路483號
127077,頭張,台中市潭子區家福里頭張路一段31號
127583,興大,台中市南區國光路301號
127929,立夫,台中市北區育德路2號
128380,中友,台中市北區育才北路74號76號
128553,甘肅,台中市西屯區甘肅路二段22號
128690,逢廣,台中市西屯區文華路170號172號1樓
128829,福星,台中市西屯區福星路580號
129246,青海,台中市西屯區青海路一段1號
130235,興生,台中市大里區大里路95號97號1樓
130408,潭陽,台中市潭子區圓通南路2號1樓
130420,文津,台中市北區天津路二段138之10號之11號
130486,港藝,台中市清水區中社路19號
130718,雅亭,台中市北區中清路一段320號
130800,海濱,台中市清水區中華路429號
130811,台火,台中市南區高工路355號1樓
131021,潭北,台中市潭子區仁愛路三段11號13號15號
131032,潭勝,台中市潭子區勝利路101號103號
131087,國光,台中市大里區國光路二段257號
131135,昌鴻,台中市北區賴厝里山西路一段48號
131180,豐贊,台中市豐原區豐勢路二段979號1樓
131250,龍合,台中市龍井區中華路一段36號
