店號,店名,地址
111153,大埕,台南市七股區大珵里272號1樓
111360,感恩,台南市永康區烏竹里自強路825-1號
111809,榮譽,台南市東區榮譽街86號86-1號1樓
111821,新國,台南市新營區大宏里民治東路1號1樓2樓
112075,財神,台南市東區中華東路二段171-177號
112422,晶圓,台南市善化區南科北路1-1號(P3廠)
112525,新北中,台南市佳里區延平路195號
112673,港達,台南市安定區港口里245-10號1樓
113126,山上,台南市山上區南洲337-3號
113193,崇祐,台南市東區崇成里崇明路561號1樓
113517,東美,台南市東山區中興路1號
113931,新北,台南市新營區民治路228號1樓
114222,南都,台南市南區金華路一段27號1樓
114532,白河,台南市白河區永安里17鄰國泰路101號
114705,鹽生,台南市鹽水區南門路1號
116011,海寮,台南市安定區海寮里海寮街8號
116181,灣中,台南市永康區大灣路62號
116620,歡雅,台南市鹽水區歡雅里26號
116734,鄭子寮,台南市北區成德里38鄰北成路442號
116826,太子宮,台南市新營區太北里太子宮142-34號
117173,嘉科大,台南市仁德區保安里二仁路一段60號
117520,東都,台南市北區成功路140號
117807,新森榮,台南市中西區成功路451號453號
118338,豐生,台南市歸仁區看東里中山路一段305號
118660,東城,台南市東區中華東路二段293號
119696,湖華,台南市中西區西湖街3號
120087,新麻豆,台南市麻豆區榖興里11鄰中山路11號
120386,東森,台南市北區林森路三段76號78號
120397,佳龍,台南市佳里區建南里勝利路216號1樓
120777,台首大,台南市麻豆區南勢里168號1樓
121035,安北,台南市安南區安中路一段546號552號
121172,新工,台南市柳營區東昇里中山西路一段2號1樓
121688,西勢,台南市永康區西勢里富強路一段304號
121769,永一,台南市永康區正強街221號1樓
122131,佳文,台南市佳里區佳西路215號1樓
122500,昜昇,台南市安平區安北路12-1號1樓
122588,新蓮鄉,台南市白河區永安里大德街150號1樓
123019,慶平,台南市安平區慶平路235號1樓
123112,北育,台南市北區成德里北安路一段189號
123156,水仙宮,台南市中西區水仙里民權路三段87號1樓
124676,崇原,台南市東山區東原里24鄰前大埔191號1樓
126993,善安,台南市安定區蘇林里7號
127022,天公,台南市中西區忠義路二段109號
127158,松美,台南市善化區小新里成功路2-2號
129213,南醫,台南市中西區民族路二段76號之13
130110,林鳳營,台南市六甲區中社里林鳳營111-8號1樓
130280,和善,台南市中西區藥王里民族路三段6鄰277號1樓
130626,社頂,台南市新市區大社里大社710號1樓
130671,鈺勝,台南市北區小東路307巷75號77號1樓
130970,裕文,台南市東區裕學路1號
130992,知母義,台南市新化區知義里知母義15號之20一樓
131113,東橋,台南市永康區東橋一路28號
131146,東山站,台南市東山區科里里枋子林74-6號
131423,土定富,台南市南區田寮里大成路二段86號88號
131630,永科,台南市永康區新樹里3鄰中山北路634巷7號
132149,新興,台南市南區光明里新興路6鄰529號531號1樓
132253,樂豐,台南市南區新都路460號
132390,新家專,台南市永康區鹽行里中正路12鄰545號1樓
132482,七甲,台南市六甲區六甲里中正路321之1號
132596,將軍,台南市將軍區長榮里長榮29之2號
132644,群創C,台南市善化區南科八路12號B1
132688,奇美實,台南市仁德區三甲里59-1號
132862,菁寮,台南市後壁區墨林里346號
132910,成醫,台南市北區小東路35號(成大醫院門診一樓)
133016,新P5,台南市善化區南科九路17號(P5P6廠O棟)
136015,正新,台南市永康區甲頂里大武街33號
136325,新南科,台南市新市區南科三路17號1樓(台南科學工業區)
136598,南門城,台南市中西區南門路229號1樓
136978,善文,台南市善化區中山路518號
137063,新新善,台南市新市區復興路59號61號63號一樓
137122,育德,台南市北區民德路87號
137742,安南,台南市安南區安和路四段520號
137801,南德,台南市南區中華南路二段101之1號
138022,南科大,台南市永康區中正路529號
138066,文五,台南市安平區國平里文平路217號
138251,淵中,台南市安南區安中路三段435號437號
138262,善成,台南市善化區中正路386號
138387,華園,台南市北區北門里公園南路71號
138675,後營,台南市西港區營西里1號
139117,永強,台南市永康區埔園里中正路102號
139265,西門,台南市北區西門路四段132號
