店號,店名,地址
110161,東佳,台東縣台東市長沙街178號180號182號
110677,池上,台東縣池上鄉大埔村中山路64號1樓
120076,安朔,台東縣達仁鄉森永村森永216號
120685,東太陽,台東縣台東市中華路二段753號1樓
122795,東遊季,台東縣卑南鄉溫泉路388號
122957,關山,台東縣關山鎮和平路4號4之1號1樓
126339,新鹿野,台東縣鹿野鄉鹿野村中華路一段430號
126476,東泉,台東縣卑南鄉溫泉村龍泉路59號
127033,東博,台東縣台東市民權里中正路414號418號
130028,新太麻,台東縣太麻里鄉泰和村外環路128號1樓
131685,東廣,台東縣台東市傳廣路496號498號1樓
132806,正東,台東縣台東市中華路一段372號
138077,東輝,台東縣台東市正氣北路389號
142825,東馳,台東縣池上鄉中東三路46號1樓
142892,蘭嶼,台東縣蘭嶼鄉椰油村椰油296之12號
143895,東大,台東縣台東市大學路二段369號
150826,長濱,台東縣長濱鄉長濱村長濱路2-5號
151232,利嘉,台東縣台東市新園里中興路六段667號1樓
153928,大武,台東縣大武鄉復興路124號126號128號1樓
154057,東和美,台東縣太麻里鄉三和村大中寮路68之6號
154585,東亮,台東縣台東市連航路88巷31號33號35號1樓
155005,東喜,台東縣台東市興安路一段197號1樓
160188,仁毅,台東縣台東市馬蘭里新生路680號682號684號1樓
160258,東昇,台東縣台東市鐵花里中華路一段542號1樓
163796,金倫,台東縣太麻里鄉金崙村金崙路262號262-1號
163958,初鹿,台東縣卑南鄉明峰村忠孝路164號166號168號
166382,東糖,台東縣台東市中興路二段360號1樓
167053,東偕,台東縣台東市長沙街303巷1號
167754,東清灣,台東縣蘭嶼鄉東清村東清路7號
173852,欣功,台東縣成功鎮三民里大同路70號
174615,卑南,台東縣台東市南榮里更生路1267號
180702,東安,台東縣台東市杭州街288號1樓
180724,東星,台東縣台東市正氣路159.159-1號1樓
181015,三越,台東縣台東市中華路一段169.171.173號1樓及169號2樓
184379,睿豐,台東縣台東市大和路8-1.16-1號一樓
193878,香蘭,台東縣太麻里鄉太麻里街575號
200538,米鄉,台東縣池上鄉福原村中山路241號
201003,享溫馨,台東縣台東市中正里中正路308號1樓
872599,東航,台東縣台東市民生里更生路270號1F
873189,東盛,台東縣台東市自強里更生路391號
888099,東漢,台東縣台東市正氣北路182號
892962,都蘭,台東縣東河鄉都蘭村都蘭155號
902296,吉川,台東縣台東市豐谷里中華路二段272號
914141,東定,台東縣台東市豐田里中興路四段406號
921231,東京,台東縣台東市卑南里更生北路198號
932998,冠美,台東縣台東市豐榮里仁昌街148號
940472,尚武,台東縣大武鄉尚武村環港路3號
942973,綠島,台東縣綠島鄉南寮村南寮路139號
952833,東河,台東縣東河鄉東河村南東河263號1樓
954574,東樂,台東縣台東市山西路一段330號
968078,新南王,台東縣台東市更生北路675號677號
970071,成貞,台東縣台東市豐年里中興路三段399號1樓
978101,欣東旺,台東縣成功鎮忠仁里中華路76號1樓
987736,知本,台東縣台東市建興里知本路四段2號
991665,富岡,台東縣台東市富岡里吉林路二段668號1樓
997652,東捷,台東縣台東市豐榮里豐盛路1號
