店號,店名,地址
110426,資砡,嘉義市西區港坪里玉山路422號
111500,嘉府,嘉義市東區民權路194號196號198號
111533,嘉和,嘉義市東區中山路169號171號173號
111751,嘉國,嘉義市東區民族路102號
112503,嘉雅,嘉義市東區大雅路二段421號1樓
113311,嘉西,嘉義市西區大溪里北港路13鄰597號
116262,精城,嘉義市東區圳頭里林森東路720號
130154,東嘉院,嘉義市東區忠孝路642號(嘉義基督教醫院門診大樓內)
131560,八大,嘉義市西區保福里八德路237號
137786,嘉德,嘉義市西區八德路73號
137797,新嘉醫,嘉義市西區福全里北港路309號
141501,香湖,嘉義市西區香湖里文化路8鄰700號
141512,北社尾,嘉義市西區北湖里北社尾路165號附1
144186,義東,嘉義市東區東義路85號
144201,秋園,嘉義市西區新民路681號
149826,新嘉商,嘉義市東區民權路72號1樓
151461,鈺順,嘉義市西區新榮路35巷20號1樓
165482,嘉坪,嘉義市西區大同路455號1樓
166500,秀泰,嘉義市西區國華里文化路293號1樓及2樓
171188,新車店,嘉義市西區福民里南京路462號1樓
180023,嘉林,嘉義市東區林森東路950號
180780,嘉義大,嘉義市東區學府路300號1樓
180791,嘉潭,嘉義市東區學府路300號1樓
182742,安捷,嘉義市西區保安里保安一路301.303號1樓
182926,湖康,嘉義市西區湖內里湖子內路195號1樓
184885,新瑞鴻,嘉義市西區文化里民族路456號458號1樓
185453,嘉上,嘉義市西區車店里上海路147號1樓
187965,立宣,嘉義市東區立仁路120號
192750,湖興,嘉義市東區興安里24鄰興美六路368號1樓
195531,嘉驛,嘉義市西區書院里中山路534號1樓
196095,嘉賢,嘉義市西區光路里世賢路四段120號1樓
196202,國華,嘉義市西區國華里國華街283號1樓
199935,桃城,嘉義市西區北興街456號
844882,彌陀,嘉義市東區芳安路1號1F
854498,台林,嘉義市東區新生路723號
874355,垂楊,嘉義市西區垂楊里仁愛路315號
880154,嘉洋,嘉義市西區民生南路600號
888136,嘉華,嘉義市西區仁愛路415號417號
909323,嘉工,嘉義市東區彌陀路240號
912639,嘉達,嘉義市西區保安里四維路18鄰302號
914174,蘭潭,嘉義市東區大雅路二段573號575號
923020,嘉賓,嘉義市西區新西里垂楊路611號
932895,湖子內,嘉義市西區湖內里南京路124號
934813,嘉榮,嘉義市西區劉厝里自強街34號
941095,保愛,嘉義市西區新厝里捌鄰友愛路711號
941279,軍暉,嘉義市東區軍輝路60號
947679,嘉高,嘉義市西區北港路1062號
951070,新嘉基,嘉義市東區頂庄里忠孝路650號(嘉義基督教醫院門診大樓外)
951601,嘉文,嘉義市東區盧厝里文雅街211號
965493,元福,嘉義市東區王田里林森東路288號
967318,博元,嘉義市西區博愛路二段572號
971580,新大業,嘉義市東區安寮里24鄰吳鳳南路194號
972125,嘉英,嘉義市東區荖藤里忠孝北街206號
976459,嘉北,嘉義市西區保安里興達路331號
980034,嘉永,嘉義市西區育英里民生南路129號131號1樓
981107,新港坪,嘉義市西區玉山路203號
981624,新嘉院,嘉義市東區忠孝路539號1樓(嘉義基督教醫院住院大樓內)
982454,新嘉家,嘉義市東區宣信里和平路103號1樓
990248,旭豐,嘉義市東區溪興街107號109號1樓
990374,新嘉勝,嘉義市西區博愛路一段421號及北興街148號150號152號
992819,圓環,嘉義市西區北杏里文化路155之2號1樓
993834,光彩,嘉義市西區民生北路182號184號1樓
