店號,店名,地址
111511,翁聚德,嘉義縣中埔鄉和睦村司公部4-20號1樓
113023,梅北,嘉義縣梅山鄉梅北村中山路437號
114587,太保,嘉義縣太保市後潭里後潭408-7號408-8號一樓
120308,蒜頭,嘉義縣六腳鄉蒜頭村1鄰蒜頭1-18號
120445,水頭,嘉義縣水上鄉水上村中正路171號173號
120951,布袋,嘉義縣布袋鎮興中里14鄰上海路177號
121253,世川,嘉義縣水上鄉內溪村中義路992號1樓
121611,朴天,嘉義縣朴子市中正里開元路18鄰161號165號
121666,彩虹,嘉義縣中埔鄉隆興村3鄰汴頭60號
122511,友樂,嘉義縣民雄鄉雙福村建國路二段146之61號1樓
122728,宮前,嘉義縣新港鄉宮前村新民路24鄰252號附1
123134,祥和,嘉義縣太保市太保里太保46-1號
124562,暘民,嘉義縣水上鄉寬士村崎子頭159-15號1樓
124573,頂六,嘉義縣中埔鄉金蘭村頂山門41-2號1樓
130165,新港,嘉義縣新港鄉宮前村中山路72巷1號.中山路74號
130523,嘉埔,嘉義縣大埔鄉大埔村大埔276號之6壹樓
131009,二竹,嘉義縣義竹鄉仁里村423號
132091,豐收,嘉義縣民雄鄉豐收村大學路二段291號
137731,溪口,嘉義縣溪口鄉坪頂村中正東路1號1樓
141420,漁人,嘉義縣東石鄉猿樹村東石205-1號
141431,布鹽,嘉義縣布袋鎮新厝里13鄰新厝仔67之1號
142227,義竹,嘉義縣義竹鄉六桂村2鄰義竹156之1號
142696,金大義,嘉義縣中埔鄉和美村大義路416號
144175,真美,嘉義縣梅山鄉梅北村006鄰新興路279號
151254,鳳專,嘉義縣民雄鄉建國路二段99號97-7號
151519,北回,嘉義縣水上鄉回歸村中山路三段167號
151623,長朴,嘉義縣朴子市仁和里嘉朴路西段6-7號1樓
153733,神木,嘉義縣阿里山鄉中正村3號2樓
154839,誠穩,嘉義縣大林鎮中坑里南華路一段55號B1F
162379,嘉樂,嘉義縣民雄鄉東榮村文化路36號1樓
163567,泉翔,嘉義縣朴子市大葛里嘉朴路西段121號
165622,中正大,嘉義縣民雄鄉三興村大學路一段421號
165965,年代,嘉義縣中埔鄉中華路863號
166913,諸羅山,嘉義縣朴子市祥和三路西段97號1樓
167318,愛樂,嘉義縣民雄鄉福樂村埤角547號
170761,灣橋,嘉義縣竹崎鄉灣橋村221號
173689,石棹,嘉義縣竹崎鄉中和村石棹22-27號22-29號
179757,阿里山,嘉義縣阿里山鄉中山村南阿里山55號
179850,水牛厝,嘉義縣太保市中山路一段210號
180805,錚大,嘉義縣民雄鄉文隆村11鄰鴨母?85號
182498,朴子橋,嘉義縣六腳鄉正義村大橋頭190-2號
182731,合泰,嘉義縣大林鎮大美里19鄰大智一街1號
183446,北雄,嘉義縣水上鄉粗溪村中山路二段381號
183664,布龍,嘉義縣布袋鎮龍江路1號1樓
185763,嘉太,嘉義縣太保市北港路二段190號
192679,番路,嘉義縣番路鄉下坑村菜公店92號
192989,雲梯,嘉義縣梅山鄉太平村下坑仔5.6.7號
193889,柳子林,嘉義縣水上鄉柳林村柳子林50-98號1樓
194952,源山,嘉義縣中埔鄉同仁村同仁1-20號1樓
196213,江宸,嘉義縣民雄鄉興中村江厝店1之32號1樓
841001,中埔,嘉義縣中埔鄉和美村中山路856號
863757,配天,嘉義縣朴子市大同路212號
871345,英巧,嘉義縣民雄鄉西安村西安路37號
871725,水上,嘉義縣水上鄉中興路380號
882138,興南,嘉義縣民雄鄉興南村15鄰頭橋557之45
896713,民城,嘉義縣民雄鄉東榮村四鄰建國路一段134號
900119,過溝,嘉義縣布袋鎮中安里19鄰11號
902230,中洋子,嘉義縣新港鄉中洋村後厝子1-33號
910828,中庄,嘉義縣水上鄉中庄村69號
912798,嘉禎,嘉義縣新港鄉菜公村7鄰菜公厝64號附6
921242,嘉港,嘉義縣新港鄉福德路116號116-1號
930497,合豐,嘉義縣中埔鄉中埔村169號1樓
940324,民工,嘉義縣民雄鄉北斗村北勢子73-55號1樓
941224,布新,嘉義縣布袋鎮中正路63號
942227,梅林,嘉義縣大林鎮忠孝路713號715號1樓
942618,妙禎,嘉義縣大林鎮中坑里南華路一段55號B1(南華大學學慧樓)
944005,祥壹,嘉義縣太保市祥和一路東段29號
944016,奮起湖,嘉義縣竹崎鄉中和村12鄰奮起湖178-1號
944382,嘉崎,嘉義縣竹崎鄉中山路111號
950686,東石,嘉義縣東石鄉永屯村35附18號
950952,六腳,嘉義縣六腳鄉蘇厝村蘇厝寮153-6號
951265,保祥,嘉義縣太保市祥和三路東段226號
952394,上龍,嘉義縣水上鄉龍德村十一指厝75-90號
952590,溪旺,嘉義縣溪口鄉溪西村中正路8鄰229-1號
953847,保新,嘉義縣太保市舊埤里1鄰新埤5-16號
967020,新塭,嘉義縣布袋鎮復興里12鄰新塭147-3號
967260,大埔美,嘉義縣大林鎮過溪里過溪1號
968311,雲海,嘉義縣中埔鄉隆興村十字路233號
970509,嘉大,嘉義縣民雄鄉文隆村鴨母水土1-92號
970657,大木康,嘉義縣朴子市大鄉里1鄰大(木康)榔179之4號
970679,朴中,嘉義縣朴子市博厚里開元路282號
972103,倖福,嘉義縣民雄鄉大崎村十四甲17-10號1樓
972620,新竹崎,嘉義縣竹崎鄉和平村田寮段98號
972701,新冠林,嘉義縣大林鎮新興街113號
980908,嘉保,嘉義縣太保市麻寮里北港路二段511號
982188,新兆軒,嘉義縣水上鄉民生村忠孝街149號151號
990488,大林,嘉義縣大林鎮西林里仁愛路23號25號27號1樓
990983,嘉庚,嘉義縣朴子市仁和里嘉朴路西段8號
991540,民雄,嘉義縣民雄鄉民權路42-2號1樓
991791,朴站,嘉義縣朴子市平和里光復路29號1樓
991997,梅鄉,嘉義縣梅山鄉梅南村中山路125號1樓
992141,鹿草,嘉義縣鹿草鄉西井村20鄰528號530號1樓
997733,慈苑,嘉義縣大林鎮平林里6鄰下潭底23-5號
