店號,店名,地址
112477,極緻,基隆市仁愛區仁二路197號1樓
112879,碇內,基隆市暖暖區源遠路158號160號
113746,德欣,基隆市中山區復興路328號之6號之7號1樓
117140,德信,基隆市信義區東信路50號52號
117896,深澳坑,基隆市信義區深澳坑路2-6號2-7號
118419,聖心,基隆市中山區西定路38號40號
118866,新壯觀,基隆市安樂區麥金路64號1樓
119216,篤鑫,基隆市七堵區堵南街22-1號1樓
119788,富華,基隆市中山區中華路9號
123525,滿福,基隆市信義區深澳坑路166之30號1樓
127103,暖鑫,基隆市暖暖區暖暖街554號
127114,新五福,基隆市七堵區福五街80號82號1樓
128900,港西,基隆市仁愛區港西街6-2號
132415,正光,基隆市七堵區自治街9號11號
138697,新福樂,基隆市信義區深溪路43號45號1樓
139313,新武嶺,基隆市安樂區基金一路168號
140597,和平島,基隆市中正區和一路125號127號
140748,翔濱,基隆市中正區建國里祥豐街339號
141338,福聚,基隆市七堵區實踐路286號福二街229號1樓
143699,崁頂,基隆市仁愛區仁四路60號62號1樓
144670,華新一,基隆市七堵區華新一路22號26號1樓
148498,八斗子,基隆市中正區北寧路327號1樓
151830,大武嶺,基隆市安樂區大武嶺里基金一路135巷21弄2-1號
154596,七堵站,基隆市七堵區東新街2號1樓
154840,武訓,基隆市安樂區武訓街102號1樓
155522,和豐,基隆市中正區新豐街203號1樓
155625,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓
159177,愛鑫,基隆市仁愛區愛二路65號
159373,哨船頭,基隆市中正區義一路43號1樓
161295,漁港,基隆市中正區中正路672號
161468,瑞金,基隆市安樂區基金三路75-1號
163512,六工,基隆市七堵區工建路1之22號1之23號1樓
164065,新財發,基隆市中正區新豐街303巷11弄1號3號1樓
164593,新長基,基隆市安樂區安樂路二段161號
165806,財高,基隆市中正區新豐街381號383號
170255,德復,基隆市中山區復興路197號
170886,基金,基隆市安樂區麥金路197號1樓
171007,七堵,基隆市七堵區明德一路174號
171155,新福成,基隆市仁愛區仁二路84號86號1樓
174040,基醫,基隆市信義區信二路268號1樓
179827,新仁二,基隆市仁愛區仁二路11號13號1樓
180986,基隆,基隆市仁愛區仁二路236號
183284,晨曦,基隆市暖暖區東勢街6之52號6之53號1樓
184874,新廟口,基隆市仁愛區仁二路228號1樓
185176,新大慶,基隆市中山區中和路168巷7弄13號15號1樓
186320,安一,基隆市安樂區安一路172及174號
186560,樂添,基隆市安樂區樂利二街62巷291號2樓292號293號1樓
187530,麥金,基隆市安樂區基金三路80號80-1號
189075,永富,基隆市七堵區永富路99號101號103號1樓
194376,愛六,基隆市仁愛區仁一路281號1樓
194479,崇信,"基隆市信義區東信路212-4,214號1F"
194538,基隆南,基隆市仁愛區港西街5號1樓
195520,深瑞,基隆市信義區深澳坑路129號1樓
196279,美的,基隆市信義區教孝街28號1樓
196707,港隆,基隆市仁愛區孝四路23號1樓
197412,忠三,基隆市仁愛區忠三路52之1號54號1樓
197777,旭東,基隆市中正區中正路54號
200941,海洋,基隆市中正區中正路609號1樓
886303,龍騰,基隆市中正區義一路22號24號
891246,巧龍,基隆市七堵區百三街61號
892272,信二,基隆市信義區信二路167號
903819,杰昕,基隆市信義區信二路243號245號
906553,正濱,基隆市中正區豐稔街27號
906759,北寧,基隆市中正區北寧路382號382-5號
928368,豐勝,基隆市中正區中正路322號
940977,新華成,基隆市仁愛區成功一路115號117號
942478,新金樂,基隆市安樂區麥金路427號
951003,深美,基隆市信義區深美街196號
962313,坤海,基隆市信義區東明路69號
970738,慶龍,基隆市仁愛區南榮路187號1樓
971292,新暖東,基隆市暖暖區暖暖街177號1樓
977142,源遠,基隆市暖暖區源遠路296號
981233,極品,"基隆市仁愛區仁三路19號21號1,2樓"
989086,仁五,基隆市仁愛區仁五路63號2-1號
990879,大武崙,基隆市安樂區基金一路381號383號1樓
993856,暖碇,基隆市暖暖區碇內街9號11號
996730,孝三,基隆市仁愛區孝三路89號91號1樓
