店號,店名,地址
111201,徠一,宜蘭縣羅東鎮培英路98號100號
112341,健神,宜蘭縣宜蘭市神農路二段8號10號
112798,同慶,宜蘭縣宜蘭市中山路三段203號205號207號1樓
112938,圓達,宜蘭縣礁溪鄉礁溪路七段65號69號
113399,伍富,宜蘭縣宜蘭市女中路三段26-6號26-7號26-8號
120456,羅高,宜蘭縣羅東鎮公正路357號359號
122005,家燕,宜蘭縣頭城鎮青雲路二段230號1樓
122120,騰豪,宜蘭縣宜蘭市大坡路二段215號217號
123008,噶瑪蘭,宜蘭縣頭城鎮復興路58號
123396,新梗枋,宜蘭縣頭城鎮濱海路三段323號
128106,集翔,宜蘭縣羅東鎮集翔里中正路147號
128117,駿隆,宜蘭縣礁溪鄉中山路一段175號
130316,新馬,宜蘭縣蘇澳鎮海山西路489號1樓
130730,壯五,宜蘭縣宜蘭市東港路3號1樓
131320,羅結,宜蘭縣五結鄉五結路三段493號
132529,潤霖,宜蘭縣羅東鎮公正路136號1樓
132699,新月,宜蘭縣宜蘭市民權路二段38巷6號
132817,孝威,宜蘭縣五結鄉傳藝路一段369號1樓
132895,滿冠,宜蘭縣宜蘭市新興路68號1樓
137753,泉發,宜蘭縣礁溪鄉礁溪路三段302號306號
138365,詮祥,宜蘭縣頭城鎮中山區青雲路三段238號240號
139209,五結,宜蘭縣五結鄉五結路二段393號
139243,校舍,宜蘭縣宜蘭市校舍路25號
141523,員泰,宜蘭縣宜蘭市泰山路33之3號33之4號1樓
141567,蘇濱,宜蘭縣蘇澳鎮蘇濱路三段1之1號
152095,馥華,宜蘭縣宜蘭市東港路30-22號
154390,纘祥,宜蘭縣頭城鎮民鋒路18號20號
154541,金玉,宜蘭縣南澳鄉蘇花路二段165號1樓
154987,新復興,宜蘭縣宜蘭市復興路二段49號1樓
155658,欣銓,宜蘭縣羅東鎮興東路263之1號1樓
164076,豆腐岬,宜蘭縣蘇澳鎮南寧路41號.42號42-1號1樓
164984,羅東,宜蘭縣羅東鎮公正路197號
165345,昱成,宜蘭縣五結鄉中正路一段174號176號
165437,礁溪,宜蘭縣礁溪鄉礁溪路四段85號87號
165909,金站,宜蘭縣羅東鎮公正路31號1樓
165932,農專,宜蘭縣宜蘭市神農路一段96號98號
166234,樸隱,宜蘭縣三星鄉大隱村三星路二段25鄰13號
167824,泉湧,宜蘭縣礁溪鄉玉石村溫泉路15鄰85號1樓
174383,佳美,宜蘭縣五結鄉中正路二段127號1樓
180218,全美,宜蘭縣壯圍鄉美城村大福路三段1號5號
180296,冬森,宜蘭縣冬山鄉冬山路100之1號
181923,深溝,宜蘭縣員山鄉惠民路207號
183147,聖昌,宜蘭縣羅東鎮站前南路260號262號1樓
183505,壯志,宜蘭縣壯圍鄉中央路二段311號
183608,金桔,宜蘭縣礁溪鄉玉龍路二段417號
183686,員泉,宜蘭縣員山鄉溫泉路1之27號1之28號1樓
183815,蜡藝館,宜蘭縣蘇澳鎮海山西路500號
184003,富達,宜蘭縣頭城鎮青雲路一段225號227號1樓
184117,內成,宜蘭縣員山鄉員山路二段264號1樓
185062,宜莊,宜蘭縣宜蘭市光復路26號
187932,馬賽,宜蘭縣蘇澳鎮永榮里馬賽路151號
187998,振盟,宜蘭縣蘇澳鎮蘇濱路二段302號
189628,省宜,宜蘭縣宜蘭市新民路159號161號1樓
190709,利陶,宜蘭縣羅東鎮興東南路188號
192543,廣達,宜蘭縣冬山鄉廣興路166號168號1樓
195025,泰勝,宜蘭縣大同鄉泰雅路一段34號1樓
195265,頭城,宜蘭縣頭城鎮青雲路三段96號1樓
195494,東道,宜蘭縣宜蘭市東港路一段575號
196671,永義,宜蘭縣冬山鄉義成路三段195號1樓
196855,侯成,宜蘭縣蘇澳鎮福德路463號465號1樓
199164,心蓮,宜蘭縣宜蘭市泰山路212號
199407,南澳,宜蘭縣蘇澳鎮南強里蘇花路二段328號
199555,佳旺,宜蘭縣宜蘭市舊城東路47號
199566,麗騰,宜蘭縣三星鄉大隱村大埔路112之7號
200181,易安,宜蘭縣五結鄉五結中路二段377號379號1樓
200756,新聖母,宜蘭縣羅東鎮中正南路160號(聖母醫院內)
201036,新羅興,宜蘭縣羅東鎮興東路23之2號1樓2樓
207090,宜商,宜蘭縣宜蘭市延平路39之8號1樓
882644,義成,宜蘭縣冬山鄉順安村義成路三段2號
882655,南方澳,宜蘭縣蘇澳鎮江夏路27號
890999,佳怡,宜蘭縣員山鄉員山路一段184號186號
893895,瑞發,宜蘭縣礁溪鄉德陽路65號
903521,大福,宜蘭縣壯圍鄉大福村壯濱路六段222號
913300,杰昇,宜蘭縣五結鄉鎮安村西河路4-6號
916262,蘇澳,宜蘭縣蘇澳鎮蘇北里中山路一段74號
921183,蘇澳港,宜蘭縣蘇澳鎮蘇東中路4號
921297,萬鴻,宜蘭縣員山鄉員山路一段303號305號
923008,同樂,宜蘭縣員山鄉同新路286號
923787,圓鴻,宜蘭縣宜蘭市慈安路40號
930280,嘉融,宜蘭縣礁溪鄉吳沙村礁溪路一段142號
931928,冬山,宜蘭縣冬山鄉冬山路一段984號
932116,永裕,宜蘭縣礁溪鄉中山路二段204號
934514,蘭陽,宜蘭縣宜蘭市中山路二段101號
942238,立昇,宜蘭縣三星鄉上將路二段355號
943921,詠淇,宜蘭縣冬山鄉香和村冬山路一段725號
951564,壯圍,宜蘭縣壯圍鄉壯五路143之3號
952338,親河,宜蘭縣五結鄉親河路二段289號
962335,權中,宜蘭縣羅東鎮民權路177號
965596,三星,宜蘭縣三星鄉義德村三星路五段228號
965909,永聖,宜蘭縣礁溪鄉大忠村大忠路120-122號
967167,布蘭其,宜蘭縣五結鄉協和村親河路一段140號
970233,宣宏,宜蘭縣羅東鎮復興路二段257號
977418,宜泰,宜蘭縣羅東鎮公園路100號
981392,湯圍,宜蘭縣礁溪鄉礁溪路五段51號
991115,羅義,宜蘭縣冬山鄉義成路三段361號363號1樓
993476,潤昌,宜蘭縣羅東鎮中山路四段197號199號
993513,聖博,宜蘭縣羅東鎮南昌街53巷6-3號
997537,蘇中,宜蘭縣蘇澳鎮中山路一段263號
997825,承莊,宜蘭縣宜蘭市中山路五段92號
