店號,店名,地址
110253,僑德,屏東縣枋寮鄉安樂村中山路143號145號147號1樓
110275,家的,屏東縣恆春鎮城南里中正路67號1樓
110530,廣大,屏東縣屏東市仁愛里廣東路561號1樓
110895,公華,屏東縣屏東市龍華里龍華路152號156號1樓
111957,長治,屏東縣長治鄉新潭村長興路13號1樓
112307,社上,屏東縣萬丹鄉社中村社皮路三段246號248號1樓
112787,滿州,屏東縣滿州鄉滿州村中山路56號1樓
114130,恆春,屏東縣恆春鎮網紗里省北路45號47號49號1樓
115915,新楓港,屏東縣枋山鄉楓港村舊庄路51之2號3號4號
116789,鎮海,屏東縣東港鎮鎮海里鎮海路1-100號
119331,隆德,屏東縣潮州鎮永春里興隆路157-2號
119641,咚咚,屏東縣恆春鎮墾丁里墾丁路333號
119685,丹榮,屏東縣萬丹鄉萬全村丹榮路625號
120788,人和,屏東縣枋寮鄉人和村中山路二段232號1樓
120973,欣佳和,屏東縣萬巒鄉佳和村佳興路38之9號
121138,內埔,屏東縣內埔鄉內田村光明路224號226號1樓
121183,里農,屏東縣里港鄉大平村中山路3號
122382,白燈塔,屏東縣琉球鄉三民區大福村中正路303之2號1樓
122810,三多利,屏東縣九如鄉大坵村九如路三段56號1樓
123271,日日春,屏東縣恆春鎮城北里中正路193號
125129,永發,屏東縣屏東市永安里復興路258號
126269,崇蘭,屏東縣屏東市潭漧里廣東路1588號1590號
126395,新潭,屏東縣長治鄉新潭村長興路326號1樓
127468,博勝,屏東縣屏東市博愛路263號1樓
128678,雅客,屏東縣恆春鎮墾丁里墾丁路166號
128999,永大,屏東縣屏東市大武路122號124號
130291,永盛,屏東縣鹽埔鄉鹽中村勝利路81之3號
131238,社皮,屏東縣萬丹鄉大昌路552號556號
131331,頭目,屏東縣三地門鄉三地村中正路二段3號1樓
131412,鼎東,屏東縣東港鎮興東里中正路二段491號1樓
132600,彭城,屏東縣潮州鎮潮州路512-3號1樓
135676,信億,屏東縣麟洛鄉麟蹄村中山路166號166-1號166-2號1樓
136255,崇武,屏東縣屏東市崇武里華盛街5-6號
136750,新豐榮,屏東縣屏東市豐源里廣東路86號
137605,安泰,屏東縣東港鎮興東里中正路一段206號1樓
137627,愛買,屏東縣屏東市清溪里清寧街2號
141257,船帆石,屏東縣恆春鎮船帆路720號1樓
142180,長春,屏東縣東港鎮興東里長春一路95號
142386,萬巒,屏東縣萬巒鄉萬和村中正路52號1樓
151807,新埤,屏東縣新埤鄉新埤村中正路72號
153917,光榮,屏東縣屏東市信義路73之6
155452,鹽洲,屏東縣新園鄉共和村光復路1號
159409,新自孝,屏東縣屏東市北勢里自由路476號壹樓
162818,廣豐,屏東縣屏東市大連里廣東路280號280-1號
165378,同勝,屏東縣屏東市潭墘里大同北路1號1樓
166005,廣得亨,屏東縣萬丹鄉廈北村下蚶187-10號
166108,萬金,屏東縣萬巒鄉萬金村萬興路18號1樓
166588,屏醫,屏東縣屏東市自由路270號
166625,恆北,屏東縣恆春鎮網紗里省北路374-3號1樓
167422,屏基,屏東縣屏東市大連路60號
167662,東山河,屏東縣屏東市機場北路500號1樓
167743,海豚灣,屏東縣枋山鄉坊山村中山路三段61-3號1樓
167961,涼山,屏東縣內埔鄉新展路22號1樓
170288,林邊,屏東縣林邊鄉仁和里中山路275號277號
171030,新樂興,屏東縣屏東市興樂里杭州街30號1樓
174109,堡勤,屏東縣屏東市新生里復興南路一段370號1樓
174291,維軒,屏東縣枋寮鄉人和村中山路二段143號
174442,潮維,屏東縣潮州鎮四維路168號之4
174811,崙上,屏東縣長治鄉崙上村中興路372-2號
179610,繁華,屏東縣長治鄉繁華村水源路71.71-1號
179698,白沙灣,屏東縣恆春鎮大光里砂尾路38之6號1樓
180311,守福,屏東縣九如鄉九如路三段450號
181129,新中勝,屏東縣內埔鄉龍潭村昭勝路13.15號1樓
181266,墾丁,屏東縣恆春鎮墾丁里墾丁路78號1樓
181978,欣昌隆,屏東縣佳冬鄉昌隆村大豐路680號
182786,花瓶岩,屏東縣琉球鄉本福村中山路51-5號1樓
183077,多多利,屏東縣九如鄉九如路三段85號
183561,楓港,屏東縣枋山鄉楓港村舊庄路21-3.21-4.21-5.21-6號1樓
183952,學廣,屏東縣內埔鄉內埔村廣濟路2-6號
184173,鵝鑾鼻,屏東縣恆春鎮鵝鑾里鵝鑾路245.247.249.257號
186504,東隆,屏東縣東港鎮頂中里延平路107號
186777,鵬權,屏東縣潮州鎮永春里光春路139號1樓
187840,翔發,屏東縣萬丹鄉萬後村西環路637號
188153,瑞廣,屏東縣屏東市一心里廣東南路88-15號
188234,念楨,屏東縣內埔鄉黎明村黎東路221號1樓
188256,佳冬,屏東縣佳冬鄉賴家村佳和路1號
188360,新東勢,屏東縣內埔鄉東勢村大同路三段2號6號1樓
188603,廣正,屏東縣屏東市北興里中正路443號1樓
188647,合生,屏東縣潮州鎮中正路1號
188821,鹽埔,屏東縣鹽埔鄉維新路134-3號136號
188832,里宬,屏東縣里港鄉鐵店村鐵店路17-1號
188843,加祿堂,屏東縣枋山鄉加祿村加祿路155號
189134,廣吉,"屏東縣屏東市廣東路991之1,991之2號1樓"
189558,瑞屏,屏東縣長治鄉香楊村瑞光路一段749號1樓
192587,和興,屏東縣屏東市復興南路一段153.155號1樓.和生路一段900號1樓
192738,瑞光,屏東縣屏東市瑞光里民生東路58-2號
194295,華敬,屏東縣屏東市中正里華正路12號1樓.14號1樓
194918,屏棧,屏東縣屏東市崇智里光復路45號
195276,崁鼎,屏東縣崁頂鄉崁頂村中正路135.137.139號1樓
195472,大街,屏東縣恆春鎮墾丁里墾丁路225.227號1樓
195575,歸來,屏東縣屏東市和生路一段107-3號
197593,國站,屏東縣屏東市中山路1.3號一樓
198998,清順,屏東縣潮州鎮光華里光華路153號1樓
199234,屏鵝,屏東縣恆春鎮恆南路6-6號
200491,興長安,屏東縣屏東市光復路352號1樓
200974,金樹,屏東縣屏東市仁愛路16號
854351,厚生,屏東縣屏東市和平路2號
860057,新園,屏東縣新園鄉興龍村14鄰南興路319號
861430,順越,屏東縣內埔鄉南寧路19、21號
864587,潭墘,屏東縣屏東市勝利路224號
870711,香楊,屏東縣屏東市瑞光里香楊巷59-12號
880349,里港,屏東縣里港鄉永春村中山路46號
882208,山和,屏東縣潮州鎮三和里延平路89號
882219,南彎,屏東縣恆春鎮南灣里南灣路122號
883278,家家福,屏東縣春日鄉七佳村自強一路14號
891279,英順,屏東縣潮州鎮介壽路145號1樓
892113,小琉球,屏東縣琉球鄉本福村民生路61號
900186,後壁湖,屏東縣恆春鎮南灣里南光路2號
903794,南州,屏東縣南州鄉溪南村三民路171號
904214,埔豐,屏東縣內埔鄉豐田村中正路291號
910677,吉春,屏東縣恆春鎮恆南路1巷6之1號
913078,新輔英,屏東縣東港鎮興台里中山路3號
913182,翊聖,屏東縣屏東市崇蘭里崇蘭路98-24號
914211,公裕,屏東縣屏東市北興里廣東路818號
914233,屏生,屏東縣屏東市瑞光里民生路33號
920401,玉光,屏東縣佳冬鄉玉光村中山路69號
922980,統棒,屏東縣屏東市永安里棒球路45號
923857,鑫泰山,屏東縣高樹鄉泰山村產業路73號
928760,林興,屏東縣林邊鄉中山路312號
930659,學興,屏東縣內埔鄉和興村學人路592號
933245,頭前溪,屏東縣屏東市前進里清進巷150號
934466,車城,屏東縣車城鄉福安村中山路76號
934684,高樹,屏東縣高樹鄉興中路193號
940807,招英,屏東縣高樹鄉南興路74之3號
942180,薇豐,屏東縣屏東市大連里豐年街1號
942777,里中,屏東縣里港鄉三部村三和路119-1號
942869,竹田,屏東縣竹田鄉中正路84號86號
950848,友井,屏東縣潮州鎮三共里北門路2號
950859,昱昇,屏東縣車城鄉溫泉村溫泉路125號
951704,億財富,屏東縣東港鎮新勝里光復路二段77號1樓
952110,萬新,屏東縣萬丹鄉新鐘村萬新路342號
952729,新德蕙,屏東縣屏東市大連里興豐路193號
963017,合家宜,屏東縣屏東市三山里海豐街7-12號
965552,麟洛,屏東縣麟洛鄉麟趾村中山路519-5號
965655,青允,屏東縣萬巒鄉新置村新隆路75號
966614,南北棧,屏東縣枋山鄉枋山村中山路三段38號
970369,水門,屏東縣內埔鄉水門村忠孝路289號
970598,萬惠,屏東縣萬丹鄉萬丹路一段21號1樓
971351,東寧,屏東縣九如鄉東寧村東寧路225號1樓
971524,新枋寮,屏東縣枋寮鄉枋寮村中興路7號1樓
972697,五房,屏東縣新園鄉五房村五房路721號1樓
975825,昭勝,屏東縣內埔鄉龍潭村昭勝路216號218號220號
982052,屏科大,屏東縣內埔鄉中林村中林路1號3號1樓
982476,欣欣鼎,屏東縣屏東市崇蘭里自由路666號1樓
990112,欣仙吉,屏東縣新園鄉仙吉路128號130號132號1樓
990503,囍洋洋,屏東縣萬丹鄉萬丹路一段366號368號1樓
990868,新潮,屏東縣潮州鎮新榮里中山路121號123號1樓
991517,潮昇,屏東縣潮州鎮三和里延平路189號1樓
992026,壽元,屏東縣南州鄉壽元村勝利路5-15號1樓
992060,大鵬灣,屏東縣東港鎮船頭里船頭路26-33號1樓
992277,保鑫,屏東縣車城鄉新街村保新路71號
997618,壽比,屏東縣內埔鄉老埤村壽比路348號
