店號,店名,地址
110356,埤頭,彰化縣埤頭鄉合興村彰水路三段5鄰537號
110367,儒林,彰化縣二林鎮北平里仁愛路11鄰425號
110459,員昌,彰化縣員林市黎明里12鄰南昌路70號72號1樓
111223,火車頭,彰化縣彰化市長樂里中正路一段536號538號
112215,員林,彰化縣員林市忠孝里4鄰員東路二段417號
112385,大陽,彰化縣彰化市延平里大埔路405號
112640,鹿濱,彰化縣鹿港鎮彰濱五路二段392號
112949,頂番,彰化縣鹿港鎮頂草路一段61號
113403,王功,彰化縣芳苑鄉王功村3鄰芳漢路王功段544號1樓
113816,金福興,彰化縣福興鄉員鹿路二段198號1樓
115890,功湖,彰化縣芳苑鄉建平村二溪路草二段372號
116767,口庄,彰化縣花壇鄉中山路二段649號651號
118822,新安可,彰化縣溪湖鎮西環路373號
119098,源益,彰化縣二林鎮斗苑路四段720號
120319,伸濱,彰化縣伸港鄉新港路425號
120320,彰泰,彰化縣彰化市安平街58號1樓
120478,員農,彰化縣員林市萬年里員水路二段19鄰433號
120490,彰馬,彰化縣彰化市彰馬路246號之5
121219,芳苑,彰化縣芳苑鄉後寮村斗苑路頂後段7號
121471,彰工,彰化縣彰化市復興里進德路11號13號1樓
122153,福環,彰化縣福興鄉同安村員鹿路一段439號
122175,和峰,彰化縣和美鎮山犁里道周路6鄰279號1樓
122278,社集,彰化縣社頭鄉員集路一段臨351號
122304,湳港,彰化縣永靖鄉港西村中山路一段842號
125510,秀水,彰化縣秀水鄉文化街31號
126535,員埔,彰化縣埔心鄉員鹿路二段248號
126731,員東,彰化縣員林市三和里大同路一段8鄰238號
126742,新桃源,彰化縣彰化市卦山里公園路一段335號
126753,巨林,彰化縣彰化市中山路一段286號1樓
127413,和輝,彰化縣和美鎮鎮平里彰草路二段臨448號
130224,家樂福,彰化縣彰化市茄苳路一段276號
130877,員慶,彰化縣員林市山腳路一段386號
131227,湖貴,彰化縣溪湖鎮西寮里員鹿路四段7號1樓
131375,彰泳,彰化縣彰化市永安街388號1樓
131722,挖子,彰化縣二林鎮華崙里二溪路七段195號197號1樓
131733,日新,彰化縣福興鄉番婆村彰鹿路六段547號1樓
132231,和美,彰化縣和美鎮和頭路189號1樓
132301,長沙,彰化縣花壇鄉中正路130號1樓
132367,締寶,彰化縣彰化市金馬路一段358號1樓
132611,三春,彰化縣花壇鄉彰員路一段臨551號
136853,鑫彰安,彰化縣彰化市中正路二段611號
137878,品冠,彰化縣員林市新生路278號
137889,彰辭,彰化縣彰化市忠孝里辭修路292號
138468,彰強,彰化縣彰化市五權里自強南路80-11號1樓
138686,巨航,彰化縣伸港鄉新港村中興路一段355號
138848,大竹,彰化縣彰化市大竹里彰南路二段181號
138996,伸東,彰化縣伸港鄉七嘉村中華路519號
140069,得利,彰化縣彰化市中華西路212號
142238,鹿鑫,彰化縣鹿港鎮復興路289號291號293號
142674,彰寶,彰化縣彰化市介壽北路82號
142722,斗金,彰化縣北斗鎮中正路57號1樓
142803,秀發,彰化縣秀水鄉番花路臨558之7號
143138,豐昌,彰化縣員林市永昌街86號1樓
144016,秀傳,彰化縣彰化市中山路一段546號1樓
144050,成發,彰化縣彰化市彰水路177號
144588,斗苑,彰化縣埤頭鄉斗苑東路588號
150789,光政,彰化縣北斗鎮光復路208號
150941,永靖,彰化縣永靖鄉永坡路2號
154655,鹿東,彰化縣福興鄉中正路224號
155278,曉陽,彰化縣彰化市民族路341號343號1樓
155474,埔新,彰化縣埔心鄉員鹿路一段145號
158299,彰化,彰化縣彰化市長樂里中正路二段41號1樓
160029,二溪,彰化縣溪湖鎮二溪路一段369號
160030,彰陽,彰化縣彰化市中正路一段75號1樓地下室1樓
160063,員勝,彰化縣員林市育英路131號
161907,員成,彰化縣員林市中山路二段216號
163648,秀鴻,彰化縣秀水鄉埔崙村民生街960號
164205,芬草,彰化縣芬園鄉茄荖村芬草路一段607號
164283,福山,彰化縣彰化市彰南路一段466號
164548,明道站,彰化縣溪州鄉中山路四段627號
164652,內安,彰化縣田中鎮碧峰里中南路二段562號
164928,村東,彰化縣大村鄉山腳路92之8號1樓
165286,安豐,彰化縣彰化市南安里彰鹿路166號1樓
165356,鹿和,彰化縣鹿港鎮鹿和路一段273號275號
165367,鹿港,彰化縣鹿港鎮中山路257號
165459,芬園,彰化縣芬園鄉彰南路四段172號及光復路6號
166289,向福,彰化縣溪湖鎮大溪路二段140號
166452,和新,彰化縣和美鎮彰新路五段臨396號
166555,桂花,彰化縣鹿港鎮鹿東路150號1+2樓
167167,嘉佃,彰化縣和美鎮彰和路三段臨51號
167880,寶斗,彰化縣北斗鎮復興路281號
169635,和美仁,彰化縣和美鎮鹿和路六段臨22號
175098,田尾,彰化縣田尾鄉光復路二段752號
175102,和全,彰化縣和美鎮竹營里美寮路二段390號
177050,崙北,彰化縣彰化市中央路232號234號
179942,社腳,彰化縣社頭鄉湳雅村山腳路三段525號
180159,明城,彰化縣大城鄉東城村北平路76號
180171,欣二林,彰化縣二林鎮大成路一段236號
180779,福鹿,彰化縣福興鄉彰鹿路七段652.654號
