店號,店名,地址
110286,鴻成,新北市土城區學府路一段28號1樓
110301,耀心,新北市板橋區中山路一段50巷22-2-15-39-46號
110507,雙建,新北市新店區二十張路64號64之1號1樓
110552,蘆荻,新北市蘆洲區永康街1巷35號1樓
110998,百豐,新北市新店區安康路一段168號1樓
111038,峽太,新北市三峽區大同路90號92號
111120,旭泰,新北市汐止區建成路57巷1號3號
111371,俊安,新北市樹林區俊英街156號
111647,德旺,新北市中和區壽德街22號1樓
111913,天下,新北市三峽區中正路一段110號112號1樓
111946,城雅,新北市樹林區學成路519號1樓
112189,瑞芳,新北市瑞芳區明燈路三段52號54號
112400,金崙,新北市淡水區沙崙路24號1樓
112569,宏福,新北市新莊區公園一路34號36號1樓
113182,後港,新北市新莊區後港一路76巷14弄1號1樓
113285,民欣,新北市蘆洲區光榮路63號65號67號
113377,飛龍,新北市蘆洲區永安南路二段356號環堤大道2號6號
113388,華安,新北市蘆洲區長安街107號
113458,莒光,新北市中和區莒光路138號1樓
113539,虹諭,新北市三重區中正北路193巷21弄43號
113609,和錦,新北市中和區錦和路402號404號
113779,春秋,新北市板橋區莒光路40巷14號16號
113894,凱園,新北市樹林區國凱街55號1樓
113986,至富,新北市林口區中湖里14鄰中湖40號之9
114174,慈佑,新北市三重區溪尾街189號191號
114657,聖武,新北市中和區新生街48號50號1樓
115823,雅盛,新北市板橋區漢生東路181號183號1樓
116538,湯旺,新北市三重區重新路五段609巷2之3號1樓
116594,佳辰,新北市樹林區佳園路三段488號
116675,健華,新北市三重區忠孝路二段63號
116697,御昇,新北市樹林區佳園路二段34號1樓
117966,匯和,新北市三重區三和路四段390巷2號
118349,新板橋,新北市板橋區文化路一段135號
118408,重運,新北市三重區三和路四段111-1及111-2號1樓
118475,俊興,新北市樹林區三俊街172號1樓
118512,建茗,新北市板橋區四川路一段104號
118785,忠信,新北市永和區中興街101號
118914,白雲,新北市汐止區民權街二段79號之1
119021,新矽谷,新北市新店區北新路三段205-1號
119032,幸亞,新北市三重區溪尾街29號
119179,中南,新北市三重區中正南路248-1號248-2號
119238,學林,新北市樹林區大雅路341號343號1樓
119283,承天,新北市土城區承天路1號
119308,竹圍,新北市淡水區民權路109號111號
119364,后福,新北市新莊區後港一路29號
119397,館東,新北市板橋區館前東路17號
119504,龍盛,新北市新莊區西盛街204巷1號1樓206號1樓
119571,香賓,新北市林口區忠孝路382號1樓
119755,正南,新北市三重區正義南路67號69號
119777,碧潭,新北市新店區北宜路一段28號
119825,新巨蛋,新北市板橋區長江路一段419號421號423號
120364,樹中,新北市板橋區溪城路105號1樓
120412,冠綸,新北市三峽區中華路59號61號1樓
120700,分子尾,新北市三重區仁愛街479號479之1號
120722,泰陽,新北市泰山區新北大道六段470號472號
120744,金座,新北市新莊區長青街5號7號
120755,傑出,新北市新莊區昌平街61號63號1樓2樓
121208,板慶,新北市板橋區忠孝路37號1樓2樓
121323,秋雅,新北市板橋區南雅南路二段144巷14號1樓
121426,中園,新北市三峽區民權街235號1樓
122245,福峽,新北市三峽區介壽路一段286號1樓
122256,立征,新北市淡水區大義街16號1樓
122360,三芝,新北市三芝區中正路一段61號63號1樓
122773,重智,新北市三重區大智街195號
122865,杰明,新北市中和區泰和街25號1樓
122887,館慶,新北市板橋區館前東路26號1樓
122924,溪州,新北市板橋區溪崑二街108.110號1樓
122980,宇陽,新北市永和區永利路77號
123064,福和,新北市中和區秀朗里大勇街25巷1號
123477,歌德,新北市鶯歌區德昌二街77號之1
123628,觀海,新北市八里區龍米路一段140號
123639,金億,新北市鶯歌區建國路278號
125509,大庭,新北市板橋區國光里6鄰國光路65號1樓
125613,新翠華,新北市板橋區三民路一段31巷14號16號
126085,金源,新北市土城區水源街59號
126281,富得,新北市五股區五權路48號1樓
126373,歌園,新北市鶯歌區國華路31號
126432,岩昇,新北市三峽區溪東路300號
126616,立行,新北市三重區力行路二段158號160號
126775,水源,新北市中和區中山路二段62號
126786,尖山,新北市鶯歌區國際二路6巷1號
126797,福來,新北市新莊區五權一路8號
126823,新紫城,新北市土城區福安街38號40號
126890,瑞新,新北市板橋區瑞安街75號
126959,三爪坑,新北市瑞芳區三爪子坑路15號17號
127228,喜城,新北市八里區中華路二段562號
127309,藍山,新北市中和區南山路41號及37巷2號
127332,和和,新北市永和區秀朗路二段128號
127435,平埔,新北市深坑區文化街82號
127549,貢寮,新北市貢寮區仁和路9號
127642,明志,新北市泰山區工專路68號70號1樓
127930,天城,新北市中和區景平路240巷1弄4號
127952,翡翠灣,新北市萬里區龜吼村美崙38號39號
128047,興板,新北市板橋區德興街22號24號
128221,新陽光,新北市泰山區泰林路二段368號370號
128391,新旭勝,新北市汐止區建成路160巷2號
128520,天闊,新北市新店區環河路16號
128689,五工,新北市新莊區福基里17鄰五工二路91號
128737,富鄰,新北市汐止區宜興街8號
128748,長樂,新北市蘆洲區長安街269號
128863,三安,新北市三重區正義北路235號
128911,統和,新北市新店區安和里安民街335號337號
128955,萬鄰,新北市板橋區華江里民生路二段226巷46號1樓
129187,英專,新北市淡水區英專路93號
129383,徐匯,新北市蘆洲區中山一路6號1樓
130143,大興,新北市三重區仁華街80巷27號1樓
130268,昌聖,新北市樹林區文化街21號23號1樓
130327,民仁,新北市蘆洲區仁愛街58號60號
130350,新洛華,新北市三重區中華路113號115號
130453,見欣,新北市淡水區中正東路一段三巷12號1樓
130534,中山二,新北市土城區中山路3號B1樓
130615,慶嶸,新北市樹林區保安街一段323號323-1號1樓
130866,環永,新北市永和區環河西路二段231號233號1樓
131157,三禾,新北市三重區大智街139號139之2號1樓
131179,新市鎮,新北市淡水區新市一路三段18號1樓
131249,龍恩,新北市三峽區國學街13號
131490,樂福,新北市板橋區中山路二段304號306號1樓
131515,蘆華,新北市蘆洲區長安街140號1樓
131618,明泰,新北市泰山區明志路二段366號368號1樓
131777,鳳祥,新北市新莊區中正路708-2號
131940,友勤,新北市樹林區大有路65號1樓
132002,勝福,新北市汐止區福德一路98號100號(夾層)樓
132079,百壽,新北市板橋區文化路一段305號1樓
132105,新和,新北市新店區新和街70號72號1樓
132219,秀杉,新北市中和區自立路129號131號
132264,沅氣,新北市中和區中山路三段29號31號1樓
132633,添祥,新北市新莊區天祥街22號24號1樓
132747,興和,新北市中和區自立路187號189號1樓
132884,福泉,新北市中和區福祥路68號70號
133108,太陽城,新北市土城區中央路四段281之8號281之9號
135023,幸和,新北市新莊區中和街174號176號1樓
135034,民族,新北市板橋區福祿里民族路310號
135056,捷興,新北市中和區興南路一段81號
135300,南勢角,新北市中和區興南路一段55號
135388,正泰,新北市板橋區三民路二段202-20及21號1樓
135403,存德,新北市板橋區篤行路二段86號88號1樓
135540,紅樹林,新北市淡水區中正東路二段81號1樓
135573,幸福市,新北市林口區文化三路二段302號1樓
135768,汐科,新北市汐止區大同路二段167-1號1樓
136037,金園,新北市板橋區金門街175號
136059,新樹,新北市新莊區新樹路166號及民安路461號
136163,建陽,新北市汐止區福德一路452號1樓
136624,公園賞,新北市泰山區仁愛路66號
136934,蘆權,新北市蘆洲區民權路136號138號1樓
136967,中泰,新北市新莊區中港一街10號10-1號
137133,板南,新北市中和區板南路486號
137591,嘉添,新北市三峽區嘉添路109-2號
137720,百利,新北市三重區仁義街208號
137764,真善美,新北市淡水區新市一路三段141號141之1號1樓
137834,雙鳳,新北市新莊區雙鳳路114號1樓
137904,家麒,新北市板橋區宏國路27號
137959,椰城,新北市中和區安平路61號
137982,橋安,新北市中和區橋安街20號1F
138181,保健,新北市中和區保健路2巷1號1樓
138457,和復,新北市中和區復興路19號
138549,二橋,新北市鶯歌區中正三路93號
138893,安民,新北市新店區安民街133巷9號11號
139173,傑元,新北市新莊區中正路929巷11號13號
140508,連勝,新北市中和區景平路513號
141006,明貴,新北市泰山區明志路三段44號46號1樓
141062,艾科卡,新北市汐止區茄苳路196號
141073,康曜,新北市新店區安康路三段41號
141176,榮華,新北市蘆洲區長榮路75號1樓
141202,吉客,新北市中和區德光路90號92號1樓
141475,油庫口,新北市板橋區文化路一段188巷38號40號1樓
141626,雙捷,新北市蘆洲區信義路162號166號168號1樓
141729,景愛,新北市中和區仁愛街45號47號1樓
141969,新亞洲,新北市土城區亞洲路110號112號1樓
142135,重美,新北市三重區重新路四段100號102號1樓
142168,鑫福,新北市新莊區幸福路727號1樓
142331,汐湖,新北市汐止區康寧街141巷49號51號1樓
142456,秀朗,新北市永和區得和路389號391號1樓
143024,萬順,新北市深坑區北深路三段198號200號1樓
143035,立飛,新北市淡水區民生路126號128號1樓2樓
143183,新展,新北市板橋區大觀路二段185號1樓
143688,統客,新北市新店區寶興路49號
