店號,店名,地址
110105,篤明,新竹市東區林森路184號
111452,新揚,新竹市東區民生路149號151號153號1樓
112466,聖華,新竹市北區西濱路一段399號
113218,華鑫,新竹市香山區五福路二段725號727號729號1樓
116000,鉅晶,新竹市東區力行一路18號4樓
118589,關東,新竹市東區光復路一段187號189號
118730,竹陵,新竹市北區東大路二段174號
120010,冠盈,新竹市北區西濱路一段286號
120962,耀明,新竹市東區南大路521號1樓
121150,宏欣,新竹市東區金山街152號156號1樓
121415,交大,新竹市東區大學路1001號(第二餐廳)
122706,厚稼,新竹市北區鐵道路二段280號
122979,明瑚,新竹市東區明湖路410號1樓
123190,寶豐,新竹市東區高峰路536巷58號之1
123411,松邑,新竹市香山區牛埔南路2號
124621,雅新,新竹市北區湳雅街154號
126410,聯電T,新竹市東區力行二路3號7樓
126498,香光,新竹市香山區香北路82號1樓
126524,香江,新竹市香山區中華路六段428-430號
127240,復全,新竹市東區新莊里長春街13號
130833,泰一,新竹市東區中華路二段668號
130925,岦湖,新竹市香山區內湖路138號1樓
130936,東埔,新竹市香山區牛埔路146號
131386,建盛,新竹市東區建中一路52號1樓
131928,竹醫,新竹市東區鐵道路二段9號1樓
132297,空軍,新竹市北區中正路385號387號1樓
135470,金功,新竹市東區建功二路2號及6號1樓
135861,保忠,新竹市東區忠孝路1號
136152,宏光,新竹市北區光華一街29號1樓
136819,梅竹,新竹市東區光明里14鄰大學路56號58號60號
137030,新竹民,新竹市東區民族路114號116號1樓
137672,科園,新竹市東區科學園路45號
137694,智邦,新竹市東區科學工業園區研新三路1號
138158,大遠百,新竹市東區西門街105號
141590,竹高,新竹市東區東山街17號19號21號1樓
141855,新站,新竹市東區榮光里林森路7號中華路二段458號
142010,育賢,新竹市東區南大路611號613號1樓
142629,金山六,新竹市東區金山六街51號1樓
143806,埔竹,新竹市東區埔頂二路148號1樓
143828,新豪康,新竹市香山區元培街371號1樓
149170,民富,新竹市北區新民里西大路642號
149181,海天,新竹市香山區海埔路136號
150723,新大,新竹市北區東大路三段2號
150767,佳香,新竹市香山區中華路六段六十之一、六十之二號1樓
151656,香圃,新竹市香山區牛埔東路253號1樓
154666,關圓,新竹市東區關東路56號1樓
154828,青草湖,新竹市東區明湖里明湖路3鄰1012-1號
155131,富首,新竹市東區慈濟路230號1樓
155142,高灃,新竹市東區高翠路331號1樓
155197,風城,新竹市東區民權路181號1樓
155290,東妮,新竹市北區東大路三段718號720號1樓
155647,千甲,新竹市東區千甲路235號
158406,公學,新竹市東區建功一路93號
158749,東香,新竹市香山區頂埔路2號
161170,科學,新竹市東區光復路一段527號527之1號1樓
164467,竹灣,新竹市北區客雃里延平路一段252號1樓
164962,清大,新竹市東區光復路二段101號
165851,矽導,新竹市東區力行一路1號
166348,雙民,新竹市東區民族路205號1樓
167444,隆華,新竹市香山區中華路五段193號1樓
167994,菄大,新竹市北區東大路四段258.260號1樓
170853,晏丞,新竹市東區振興路50號1樓
173922,竹光,新竹市北區文雅里18鄰竹光路123號
173955,華國,新竹市東區中華路一段107號109號
174176,竹森,新竹市北區光華東街107號
179654,宏遠,新竹市東區金山十五街1號1樓
