店號,店名,地址
110699,耕新,新竹縣湖口鄉成功路276號
112318,台元,新竹縣竹北市台元街26-8號
112802,六家,新竹縣竹北市福興東路二段105號1樓
113838,興韻,新竹縣竹北市福興路753號
121459,新康,新竹縣新豐鄉松林村7鄰康樂路一段216號1樓
121460,冠華,新竹縣新豐鄉忠孝村員山148之2號1樓
122038,宇軒,新竹縣竹北市勝利二路85號1樓
122290,台積P6,新竹縣寶山鄉新竹科學園區園區二路166號
122603,首璽,新竹縣竹北市自強六街13號1樓
123189,嘉豐,新竹縣竹北市嘉豐北路76號78號
123352,明新,新竹縣新豐鄉新興路7號
123363,湖口,新竹縣湖口鄉中正路一段36號
124632,中新,新竹縣竹北市中正西路389號1樓
124687,飛凰,新竹縣芎林鄉富林路二段729號
126340,新豐新,新竹縣新豐鄉新庄路383號
126672,四重埔,新竹縣竹東鎮中興路一段157號
127343,豐鈴,新竹縣湖口鄉安宅四街2號
127402,華盛,新竹縣竹北市新社里華興街68號
128140,寶山,新竹縣竹東鎮中興路三段173號
130338,台積電,新竹縣寶山鄉研新二路6號
130475,關西,新竹縣關西鎮正義路286-1號
130707,菄族,新竹縣竹東鎮民族路66號1樓
131098,十興,新竹縣竹北市莊敬北路130號
131272,寶雅,新竹縣寶山鄉大崎村大雅路二段103巷15號
131456,竹崙,新竹縣竹北市中華路153號1樓
131629,竹東,新竹縣竹東鎮學前路29號1樓
131755,鑫力成,新竹縣湖口鄉大同路10號6樓
132356,埔義,新竹縣新埔鎮下寮里義民路三段317號1樓
132389,嘉家,新竹縣竹北市嘉豐十一路一段30號1樓
132770,文嘉,新竹縣竹北市文興路一段398號1樓
136576,新縣福,新竹縣竹北市縣政二路414號416號1樓
137524,冠宇,新竹縣新豐鄉忠孝路1號
137535,埔田,新竹縣新埔鎮中正路7號1樓
137926,金廣福,新竹縣北埔鄉南興街135號1樓
138929,裝甲,新竹縣湖口鄉勝利路二段93號94號95號1樓
141556,達陞,新竹縣湖口鄉中山路一段537號1樓
141659,石光,新竹縣關西鎮石光里石岡子252號1樓
141718,豐鼎,新竹縣湖口鄉光復東路8號1樓
141877,鳳山綺,新竹縣湖口鄉勝利路二段254號1樓
142098,縣汶,新竹縣竹北市縣政二路233號235號1樓
142515,竹北中,新竹縣竹北市中華路881號1樓
142526,源冠,新竹縣新豐鄉尚仁街92號1樓
142559,博明,新竹縣竹北市博愛街235號237號1樓
142928,華科,新竹縣橫山鄉橫山村9鄰中豐路一段100號1樓
143552,台積,新竹縣寶山鄉園區二路168號1樓
143817,國碩,新竹縣湖口鄉工業一路3號5樓
144739,縣科,新竹縣竹北市縣政二路南段103號
144843,崠豪,新竹縣竹東鎮東林路103號1樓
144865,東宏,新竹縣竹東鎮中正路217號1樓
149310,文樂,新竹縣湖口鄉文化路55號
149701,縣運,新竹縣竹北市莊敬南路21號1樓
149804,安村,新竹縣竹北市中山路416-1號
153537,強利,新竹縣竹北市自強北路111號
154002,文元,新竹縣竹北市台元二街1號1樓
154013,新埔,新竹縣新埔鎮中正路221號
154080,積七,新竹縣寶山鄉園區二路170號1樓
154105,忠平,新竹縣湖口鄉中平路一段271號1樓
154943,欣樂,新竹縣新豐鄉康樂路一段358號
155429,東融,新竹縣竹東鎮中興路二段148號1樓
155599,德和,新竹縣湖口鄉德興路216號218號
158082,隘口,新竹縣竹北市隘口二路27號
158831,家興,新竹縣竹北市嘉豐五路二段168號1樓
158934,府樂,新竹縣竹北市縣政九路80號一樓
161125,園區,新竹縣寶山鄉園區三路1號
161181,竹豐,新竹縣竹東鎮中豐路三段93號95號1樓
163637,北泰,新竹縣竹北市中正西路134號1樓
164504,上員,新竹縣竹東鎮光明路538巷25號
164973,朝陽,新竹縣竹東鎮朝陽路72號74號
165002,富正,新竹縣竹東鎮東寧路一段261號1樓
165013,昌春,新竹縣竹東鎮長春路三段26號1樓2樓
165208,強鹿,新竹縣竹北市自強北路256號1樓
165493,明采,新竹縣竹北市光明一路158號1樓
166854,埔和,新竹縣新豐鄉埔和村埔頂281之1號
167606,埔昌,新竹縣新埔鎮義民路一段92號
167765,晨寶,新竹縣湖口鄉三民南路117號1樓
169842,明大,新竹縣新豐鄉松林村新興路1號
169886,湖口廠,新竹縣湖口鄉八德路三段30號
171351,新湖工,新竹縣湖口鄉中華路54號
173807,聯新,新竹縣竹北市中正西路602號1樓
174327,強興,新竹縣竹北市自強北路223號
179953,東鐵,新竹縣竹北市隘口三街231號1樓
180160,鳳鼻,新竹縣新豐鄉鳳坑村坑子口750之2號
180322,采虹,新竹縣竹北市勝利八街一段345.347號1樓
180399,隘心,新竹縣竹北市興隆路五段151號
180528,騰達,新竹縣橫山鄉中豐路二段211號
181059,東興,新竹縣竹東鎮北興路一段468號1樓
181325,竹永,新竹縣竹東鎮仁愛里北興路二段185號187號
181602,大硯,新竹縣竹北市文興路311號
181691,宥昌,新竹縣芎林鄉文富街100號1樓
181738,璞玉,新竹縣竹北市東興路二段39號
181819,力成玖,新竹縣湖口鄉文化路4號B1樓
181831,景碩,新竹縣新豐鄉建興路二段526號行政棟3樓
182018,晨星科,新竹縣竹北市台元街18號7樓之1
182340,王爺,新竹縣湖口鄉中山路一段790號1樓
182720,縣政府,新竹縣竹北市光明六路10號
182971,力成三,新竹縣湖口鄉大同路15之1號6樓
183343,進一廠,新竹縣寶山鄉園區三路123號
183985,加勝,新竹縣竹北市勝利八街二段63.65號1樓
185903,博愛街,新竹縣竹北市博愛街709號1樓
186593,仁智,新竹縣湖口鄉仁和路38號1樓
186607,新瓦屋,新竹縣竹北市文興路一段172.176號1樓
187091,湖崗,新竹縣湖口鄉中山路二段430號
187220,羅湖,新竹縣湖口鄉成功路1092號
188865,商華,新竹縣竹東鎮東寧路三段25號1樓
188979,東鑽,新竹縣竹東鎮北興路三段517號519號
190053,斗崙,新竹縣竹北市光明十一路188號190號1樓
190721,中德,新竹縣北埔鄉北埔村中山路42號一樓
193007,埔嵩,新竹縣新埔鎮田新路292號296號1樓
193144,員道,新竹縣竹東鎮員山路218之1號
193487,豐富,新竹縣竹北市復興三路一段105號1樓
193627,乾坤科,新竹縣寶山鄉研發二路2號B1樓
193904,大勝,新竹縣竹北市勝利十一路101號
195287,星都心,新竹縣竹東鎮光明路182號186號
195346,洪興,新竹縣峨眉鄉峨眉村1鄰8-8號1樓
195818,碩禾科,新竹縣湖口鄉自強路18號1樓
198415,禾遠,新竹縣竹北市莊敬五街13號
198622,銘豐,新竹縣竹北市嘉豐五路一段1號1樓
199429,竹樺,新竹縣竹北市華興街298號1樓
200125,義山,新竹縣竹北市十興路318號.新瀧一街6號
200583,鐵興,新竹縣竹北市文興路一段246號248號一樓
201139,新北竹,新竹縣竹北市博愛街358.360號1樓
201209,竹北,新竹縣竹北市中正東路194號
863458,醫湖,新竹縣湖口鄉孝勢里忠孝路20號22號
871976,光春,新竹縣竹東鎮長春路三段253號
883315,飛利浦,新竹縣竹北市中華路548號550號
893655,埔中,新竹縣新埔鎮中正路619號621號
910437,橫山,新竹縣橫山鄉中豐路二段122號
910703,源威,新竹縣湖口鄉光華路666號1F
910806,三立,新竹縣湖口鄉湖鏡村八德路一段718號
911876,新關中,新竹縣關西鎮中興路17號
912617,情友,新竹縣寶山鄉雙溪村寶新路一段2號
912765,東亭,新竹縣竹東鎮和江街2號6號
912927,台積二,新竹縣寶山鄉園區三路121號B1
912938,台積三,新竹縣寶山鄉研新一路9號
914037,豐興,新竹縣新豐鄉建興路一段128號
920917,內灣,新竹縣橫山鄉內灣村20號
922751,源泰,新竹縣湖口鄉中興街174-176號
923226,鹿家,新竹縣竹北市自強南路136號
929187,泰鑫,新竹縣竹北市新泰路31號一樓
930800,湖山,新竹縣湖口鄉中山路三段489號
941121,員崠,新竹縣竹東鎮東峰路336號
944256,鐵家,新竹縣竹北市自強南路211號
944588,鳳岡,新竹縣竹北市長青路一段388號390號
944751,源晟,新竹縣湖口鄉新興路628號630號
947381,東豐,新竹縣竹東鎮東寧里東寧路一段1號
947738,統賀,新竹縣竹北市中正東路67號69號
951623,光揚,新竹縣竹北市光明六路247號249號251號一樓
952811,博祐,新竹縣竹北市博愛街25-1號
953489,宏橋,新竹縣湖口鄉工業一路7號7-1號
953607,大矽谷,新竹縣芎林鄉三民路279號1樓
953696,盟創,新竹縣寶山鄉創新二路6號
954633,新新豐,新竹縣新豐鄉新興路177號179號1樓
958956,東福,新竹縣竹東鎮中豐路二段245號
962977,新庄子,新竹縣新豐鄉建興路二段752號1樓
965932,飛鳳,新竹縣芎林鄉富林路二段556號
966865,新湖中,新竹縣湖口鄉中正村中正路二段235號
967282,新高湖,新竹縣新豐鄉新興路403號1樓
967961,竹興,新竹縣竹東鎮中興路四段650號
971340,馬武督,新竹縣關西鎮中豐新路2-1號1樓
977315,新薪荷,新竹縣竹北市三民路243號245號1樓
988038,世豊,新竹縣新豐鄉建興路一段173號175號一樓
988337,湖安,新竹縣湖口鄉光復東路395號1樓
990710,力成科,新竹縣湖口鄉大同路26號6樓
990846,力成貳,新竹縣湖口鄉三民路7號B1
990880,晨希,新竹縣湖口鄉榮光路617號
991078,聯電S,新竹縣寶山鄉雙溪村研新一路16號3樓
991089,芎林,新竹縣芎林鄉文山路529號531號1樓
992233,富林,新竹縣芎林鄉富林路三段239號1樓
997847,沐庭,新竹縣竹北市光明六路106號1樓
999957,新縣政,新竹縣竹北市光明九路12號1樓
