店號,店名,地址
110080,千禧,桃園市龜山區光峰路千禧新城15號1樓
110138,百吉,桃園市大溪區復興路二段35號
110390,福冠,桃園市中壢區福州一街242號1樓及2樓
110909,翁武,桃園市大溪區民權東路149號
111175,大享,桃園市中壢區中正路1262號1樓
111234,龍欣,桃園市龍潭區中興路257號259號
111289,台達電,桃園市龜山區山鶯路252號B1樓
111418,中同,桃園市中壢區大同路141號143號1樓
111522,文城,桃園市桃園區龍壽街273巷1號1樓
111555,日月光,桃園市中壢區中華路一段560號
111614,凱華,桃園市龜山區文化二路183號1樓
111795,亞文,桃園市中壢區龍川街108號110號1樓2樓及112號1樓
111898,同銘,桃園市龜山區大同路212號1樓
112086,尊品,桃園市桃園區建國路41-1號1樓
112293,龍昌,桃園市龍潭區大昌路二段139之1號
112329,海湖,桃園市蘆竹區濱海路一段40號42號
112592,雙榮,桃園市平鎮區雙連里民族路雙連三段8號1樓
112617,得寶,桃園市桃園區春日路1344號1346號
113045,全鎮,桃園市桃園區春日路238號240號1樓
113078,濱海,桃園市大園區竹圍里五鄰竹圍街45-3號
113344,大和園,桃園市大園區中山南路272號及272-1號1樓
113355,丰順,桃園市平鎮區中豐路一段281之1號1樓
113573,果林,桃園市大園區果林里3鄰拔子林23之45號1
113702,高城,桃園市八德區高城八街58巷5號1樓
113735,亞都,桃園市大溪區僑愛一街72巷15號
113849,平昌,桃園市桃園區中平路161號1樓
113919,觀群,桃園市大園區大工路106號
113920,雙假,桃園市桃園區大有路660號1樓之2
114071,復華,桃園市中壢區中華路一段670號672號1樓
115971,廣興,桃園市平鎮區忠孝路69號及廣東段305號306號
116044,明福,桃園市八德區大明街105號107號
116055,青埔,桃園市中壢區青昇路257號1樓
116479,榮興,桃園市八德區榮興路1139號
117151,廣瀨,桃園市龜山區忠義路二段13號
118523,和氣,桃園市大溪區仁和路二段51號1樓
118648,華勛,桃園市中壢區華勛街191號193號
118682,華信,桃園市桃園區成功路一段47號
118693,楊梅,桃園市楊梅區楊新路73號
118903,峰里,桃園市大溪區復興路二段782號786號
118936,凱達,桃園市龜山區精忠里長壽路155號157號
119010,過嶺,桃園市中壢區民族路五段451號453號1樓
119087,信陽,桃園市龜山區公西里12鄰復興一路86號
119881,新街,桃園市中壢區環北路543號
120571,八福,桃園市八德區福國街76-1號
120607,青溪,桃園市桃園區自強路2號1樓與中山東路153號1樓
120858,壽興,桃園市龜山區中興路一段73號1樓2樓3樓
120906,祥崁,桃園市龜山區南祥路41號43號45號1樓
120917,頂湖,桃園市龜山區新興街240號242號244號1樓
121046,開南,桃園市蘆竹區新興街136號1樓
121448,富中,桃園市觀音區中山路二段925號
121725,有寶,桃園市桃園區寶山街209號1樓
121817,文漢,桃園市大溪區文化路188號
122072,新福街,桃園市中壢區福州二街392號1樓
122119,榮安,桃園市中壢區榮安十三街297號1樓及榮安十四街2號1樓
122142,高屋,桃園市中壢區民族路二段150號152號
122315,三元,桃園市桃園區大業路一段54號56號1樓
122326,福記,桃園市中壢區林森路164號166號168號
122371,觀成,桃園市觀音區成功路一段557號559號1樓
122393,湧北,桃園市八德區東勇街396-1號
122647,樂高,桃園市龜山區文化七路85號1樓
122681,龍岡,桃園市中壢區龍東路508號510號1樓
122692,龍德,桃園市龍潭區中興路460號462號
122784,春寶,桃園市桃園區春日路670號1樓
122821,平東,桃園市平鎮區平東路225號227號229號1樓
122898,台達二,桃園市中壢區東園路3號B1樓
123282,秀才,桃園市楊梅區秀才路313號315號1樓
123466,禾豐,桃園市桃園區秀山路95號1樓
123547,大佶,桃園市桃園區三民路三段490號
123581,新台茂,桃園市蘆竹區南崁路一段135號
124506,茶專,桃園市龜山區萬壽路二段353號1樓
125923,桃德,桃園市八德區介壽路一段794號
126317,蘆海,桃園市蘆竹區坑口里海山路一段76號一樓
126328,永安港,桃園市新屋區中山西路三段1148號
126454,海利,桃園市平鎮區上海路115號
126580,統讚,桃園市中壢區龍江路62號1樓
126638,沙崙,桃園市大園區沙崙里國際路二段759號761號763號1樓
126878,縣北,桃園市桃園區中山北路136號1樓
126889,吉福,桃園市蘆竹區吉林路167號1樓
126915,廣懋,桃園市八德區廣福路578號
126926,渴望村,桃園市龍潭區三和里渴望路428號
128656,來來,桃園市中壢區中央東路62號
129062,航興,桃園市蘆竹區中福里大興路233號1樓
129305,新壢,桃園市中壢區日新路66號68號
129811,德興,桃園市平鎮區振興路12號
130006,楊展,桃園市楊梅區校前路312號316號1樓
130017,慈德,桃園市桃園區慈德街53號55號57號
130039,龜山銘,桃園市龜山區德明路152號154號1樓
130176,原大,桃園市中壢區實踐路46號
130213,國航,桃園市大園區國際路一段300-1號1樓
130257,金陵,桃園市平鎮區金陵路76號78號1樓
130556,立莊,桃園市中壢區莊敬路805號
130567,龍東,桃園市中壢區龍東路138號140號1樓
130648,學央,桃園市平鎮區中央路187號
130659,金帝寶,桃園市新屋區中山東路一段106號
130729,韻翔,桃園市平鎮區文化街71號1樓
130741,崴正,桃園市桃園區中正五街137號139號1樓
130822,統壢,桃園市中壢區定寧路15號
130899,文中,桃園市桃園區文中路65號1樓
130903,盧長,桃園市蘆竹區南山路二段183號1樓
131076,新梅,桃園市楊梅區新農街469-8號469-9號1樓
131168,民大,桃園市桃園區大興路221號1樓
131467,大傳,桃園市龜山區大同路357號357-1號1樓及壽山段926地號
131607,體育大,桃園市龜山區文化一路250號
131700,海華,桃園市中壢區慈惠三街152號154號
131906,富崗,桃園市楊梅區新明街450號
132323,速達,桃園市中壢區新生路二段378之2號
132378,長榮航,桃園市蘆竹區新南路一段376號
132426,聖民,桃園市桃園區民生路208號一樓
132437,慶和,桃園市中壢區後寮一路140號142號1樓
133061,景竹,桃園市蘆竹區南竹路五段200號1樓
135252,新莊伯,桃園市桃園區莊敬路一段175號177號1樓
135469,輕井澤,桃園市桃園區大業路一段355號357號一樓
135621,大權,桃園市桃園區大同路57號59號
135713,勝壢,桃園市中壢區中央西路一段一號一樓
136314,錦明,桃園市蘆竹區光明路二段102號1樓
136495,立國,桃園市桃園區中山東路51號1樓
136864,祥鋐,桃園市平鎮區金陵路三段74號76號
137661,新屋山,桃園市新屋區新屋里中山路288號
137867,紅蕃茄,桃園市桃園區復興路83號85號
137948,美壢,桃園市中壢區中美路二段72號
138000,鴻臣,桃園市龜山區楓樹里忠義路一段870-1號
138103,國仲,桃園市桃園區中德里國際路一段538號
138147,泉僑,桃園市龍潭區文化路12-3號
138192,蘆工,桃園市蘆竹區中興路97號1樓
138273,千雄,桃園市蘆竹區南崁路二段96號
138480,龍南,桃園市平鎮區龍南路348號
138505,禾臣,桃園市龍潭區高平里高楊北路1號
138538,三光,桃園市中壢區中央西路二段259號259-1號1樓
138608,觀湖,桃園市觀音區濱海路廣興段132號
138642,山興,桃園市龜山區山頂里明興街223號
138664,樂善,桃園市龜山區文明路131號1樓
138712,崴盛,桃園市桃園區慈文路51號;正康三街284號
138790,瑞豐,桃園市楊梅區瑞原里民富路三段24號
138963,新中北,桃園市中壢區新中北路1018-1號1樓
138985,辰興,桃園市桃園區大興西路一段178號
139069,觀埔,桃園市觀音區藍埔里新華路一段488號
139210,瑞元,桃園市蘆竹區長春路87號
139287,翁京,桃園市平鎮區中豐路南勢二段118號
141187,楊功,桃園市楊梅區瑞溪路二段162號1樓
141235,北原,桃園市中壢區新中北路239號241號1樓
141280,豐彩,桃園市龍潭區中豐路398號1樓
141361,復強,桃園市中壢區自強六路53號復華街212號1樓
141453,聖央,桃園市中壢區中央西路一段78號1樓
141660,忠敬,桃園市中壢區莊敬路90號
141811,福利國,桃園市桃園區同德六街170號1樓
141970,新龜山,桃園市龜山區萬壽路二段1170號
142124,世傳,桃園市八德區和平路122號126號1樓
142157,新桃林,桃園市桃園區延平路4號6號1樓
142272,高尚,桃園市楊梅區梅高路二段136巷5號
142353,觀富,桃園市觀音區新富路701號1樓
142375,富寓,桃園市龜山區文德路80號82號
142401,龍功,桃園市龍潭區成功路186之1號
142548,海帝,桃園市中壢區元化路307號1樓
142582,智勝,桃園市桃園區桃智路1號3號1樓
142663,謙悅,桃園市桃園區新埔六街58號60號1樓
143286,龍政,桃園市龍潭區中正路162號
143356,漢豐,桃園市桃園區漢中街146號1樓
143529,高義,桃園市平鎮區復旦路二段211巷10號1樓
143758,埔民,桃園市桃園區民生路535號1樓
143781,龍潭,桃園市龍潭區東龍路257號259號1樓
143839,關爺,桃園市平鎮區南東路376號1樓
144072,鈺朋,桃園市桃園區莊敬路二段105號1樓
144119,中科院,桃園市龍潭區中正路佳安段481號
144223,龍園,桃園市大溪區石園路615號
144267,桃中,桃園市桃園區中正路233號1樓
144728,精材,桃園市中壢區吉林路23號B1樓
144751,鑫帝標,桃園市桃園區龍泉二街65號龍城五街66.68號1樓
144773,森壢,桃園市中壢區新興里2鄰林森路30號1樓
145145,有家,桃園市桃園區大有路457號459號1樓
146311,福僑,桃園市八德區廣福路162號164號1樓2樓
146540,長業,桃園市中壢區長春路23號
147967,上華,桃園市龍潭區中正路上華段6號
148269,冠桃園,桃園市桃園區中泰里國際路一段1179號
148362,新劉興,桃園市大溪區南興里永昌路320號
148649,仁善,桃園市大溪區埔頂路二段183號
148742,吉利,桃園市中壢區吉林二路83巷30號32號34號
148775,華亞,桃園市龜山區文化二路43號
148801,欣高,桃園市楊梅區楊梅里文德路1號1樓梅高路52-9號
149295,航福,桃園市蘆竹區南福街97號99號
149491,勇伯,桃園市八德區東勇北路380號
150907,光北,桃園市桃園區中山北路42號1樓及地下1樓
151025,樂購,桃園市蘆竹區五福一路41號1樓
151058,雙橡園,桃園市大溪區僑愛里介壽路210號
151634,慈安,桃園市桃園區永安路600號1樓
151689,楊昌,桃園市楊梅區楊新北路23號
151771,楊山,桃園市楊梅區中山南路98號100號1樓
151782,健業,桃園市桃園區健行路88號
151900,柏魁,桃園市龜山區振興路1021之1號
152017,瑞揚,桃園市楊梅區新成路97號
152084,鼎桃,桃園市桃園區宏昌六街281號1樓
152109,航宏,桃園市蘆竹區蘆竹里蘆竹街256號一樓
153434,龍科,桃園市龍潭區龍科街228號B1
153445,統文,桃園市龜山區文化七路179號1樓
153467,蘆豐,桃園市蘆竹區南山路二段48號1樓
153478,陸光,桃園市龜山區陸光路83號85號1樓
153490,祥櫂,桃園市龜山區萬壽路二段97號
153515,江海,桃園市大園區中正東路三段343號
153559,創薪,桃園市中壢區龍昌路270號1號
153560,多利,桃園市新屋區中山東路二段760號1樓
153593,元勛,桃園市中壢區晉元路195號1樓
153618,台積Q,桃園市龍潭區龍園六路101號2樓
153995,京利,桃園市平鎮區南京路206號
154024,富寶,桃園市平鎮區新富五街9號1樓
154116,大崙,桃園市中壢區中正路四段35號
154208,玉興,桃園市大園區華興路一段1號1樓.和平西路145號2樓
154677,瓏門,桃園市中壢區龍昌路538號1樓
154725,埔子,桃園市桃園區永安路1040號1040之1號1樓
154736,笙園,桃園市中壢區新生路738號740號742號1樓
154747,東洸,桃園市平鎮區平東路27號東光路16之1號1樓
154895,航海,桃園市蘆竹區南山路一段175之1號1樓
155326,大新,桃園市觀音區大觀路二段65號67號
155337,中天,桃園市中壢區石頭里中和路184號1樓
155359,芯德,桃園市大溪區復興路186號1樓188號1至2樓
155430,大有,桃園市桃園區大有路547號1樓
158358,大中原,桃園市中壢區新中北路151號151-1號一樓
158370,鶯明,桃園市桃園區桃鶯路251號
158543,寶麗,桃園市平鎮區湧安里自由街57號59號
158750,柏德,桃園市中壢區中北路158號1樓
158967,豐利,桃園市中壢區南園二路63號
159041,金權,桃園市中壢區光明里中央西路二段49號
159063,健行,桃園市中壢區健行路230號1樓
159188,中孝,桃園市中壢區忠孝路248號1樓2樓
159270,元翔,桃園市蘆竹區六福路247巷2-1號
159351,新桃府,桃園市桃園區縣府路312號312之1號
159410,凱成,桃園市楊梅區文化街220號222號222-1號
160018,興圓,桃園市八德區長興路76號1樓
160100,達昇,桃園市大園區大觀路525號527號1樓
160155,東勇,桃園市八德區東勇街83號
161413,新元,桃園市中壢區新生路232號234號
161550,百年,桃園市龍潭區中豐路烏樹林段317號
162922,澄和,桃園市桃園區大業路一段277號1加2樓
163590,楊興,桃園市楊梅區楊新路三段331號333號
163660,成皇,桃園市桃園區復興路80號
163752,蘆勝,桃園市蘆竹區忠孝西路21號1樓
163763,宏龍,桃園市龍潭區中原路二段393號1樓
163970,壢都,桃園市中壢區長沙路131號成都路72號
164135,光壢,桃園市中壢區莒光路35號1樓
164353,德力,桃園市八德區大福里介壽路一段134號136號
164607,驊豐,桃園市桃園區建國路101號1樓
164674,興武,桃園市桃園區復興路239之1號1樓;241號1樓
164711,新田園,桃園市大園區新興路62號
164722,弘揚,桃園市中壢區弘揚路47號1樓
165024,福瑞,桃園市中壢區信義里福州路201號
165046,易仕,桃園市龍潭區中豐路695巷2-1號
165105,捷安,桃園市八德區興豐路689號1樓
165219,成達,桃園市平鎮區育達路136號
165529,學屋,桃園市中壢區民族路三段402號406號
165884,大椿,桃園市桃園區春日路1193號1樓
166429,長運,桃園市龜山區長青路7號C棟B1樓
166463,藝德,桃園市桃園區同德十一街98號100號
166485,環興,桃園市平鎮區環南路188號1
166496,富證,桃園市楊梅區中正路80號82號1樓
166670,日日興,桃園市新屋區中山西路一段280巷20號
166681,富亨,桃園市龜山區文青路206號208號210號1樓
166773,廣隆,桃園市八德區廣興路195號
166887,城邑,桃園市大園區高鐵北路二段186號188號1樓
166935,豐德,桃園市八德區永豐路605號1樓
167097,庚大,桃園市龜山區文化一路259號B1樓
167145,金富多,桃園市桃園區寶慶路470號1樓
167341,成龍,桃園市中壢區龍岡路三段192號194號196號1樓
167363,瑞星,桃園市八德區介壽路二段616號618號1樓
167396,福國,桃園市八德區福國北街48號50號1樓
167503,觀湘,桃園市觀音區忠孝路767號1樓
167514,自強一,桃園市中壢區自強一路65號67號69號
167628,振裕,桃園市八德區福德一路54號
167639,福龍,桃園市平鎮區福龍路一段556號
167695,鳳儀,桃園市蘆竹區南崁路二段285號1樓
167709,擎天,桃園市桃園區桃鶯路50號52號1樓
167879,富勝,桃園市龜山區文學路250號1樓
169820,武青,桃園市大園區五青路287號289號1樓
170428,宏太,桃園市桃園區桃鶯路384-9號384-10號1樓
170462,新貴中,桃園市平鎮區新貴里中豐路一段98號1樓
170727,水龍吟,桃園市龍潭區中原路一段506號1樓
170956,新虎山,桃園市桃園區成功路三段50號52號1樓
171339,瓏慈,桃園市中壢區龍慈路712號716號718號1樓
171694,正麗,桃園市桃園區莊一街11號13號1樓
171742,大成,桃園市楊梅區梅山西街10號
171753,新桃行,桃園市桃園區力行路7號
173656,文仁,桃園市桃園區延壽街9號11號1樓
173678,正康,桃園市桃園區民光路49號
173818,忠新,桃園市大溪區大鶯路1539-1號
173896,頭寮,桃園市大溪區復興路一段906號
174132,德隆,桃園市八德區永豐路408號410號1樓
174279,環宇,桃園市中壢區自強15鄰環中東路8號
174338,嘉美,桃園市蘆竹區大新路454.456號1樓
174501,志廣,桃園市中壢區志廣路107號109號1樓2樓
174556,翁和,桃園市大溪區仁文里介壽路1153號一樓
174671,鎮宮,桃園市平鎮區中山路233號235號237號1樓
174774,廣城,桃園市平鎮區廣達里廣平街20號24號1樓
174800,觀濤,桃園市觀音區樹林里民權路1號
174914,內海,桃園市大園區民生路183號1樓
174936,莊正,桃園市桃園區莊二街148號1樓
177566,元化,桃園市中壢區元化路1-1號
179562,八德介,桃園市八德區介壽路二段216號218號1樓
179584,桃醫,桃園市桃園區中山路1492號
179676,北勢,桃園市新屋區中山東路一段745號
179997,高萱,桃園市中壢區高鐵南路二段369號1樓
180001,環埔,桃園市中壢區領航北路一段281號1樓
180089,亮亞,桃園市蘆竹區大福路189號
180115,慈中,桃園市桃園區中正路820號1樓2樓
180207,興榮珍,桃園市中壢區興仁路二段200之1號;198巷1之3號1樓
180241,美光二,桃園市龜山區華亞五路2號二廠7樓
180252,美光一,桃園市龜山區復興三路667號一廠5樓
180285,千富,桃園市蘆竹區長安路二段220號222號1樓
180377,萬龍,桃園市龜山區萬壽路一段307號309號1樓
180470,尚群,桃園市八德區中山路181號
180481,福厚,桃園市八德區興仁里建德路229號
180573,國力,桃園市桃園區國際路二段426號428號1樓
180609,青禾,桃園市中壢區高鐵站前西路二段96號1樓
180735,建發,桃園市龜山區南上里8鄰民生北路一段516號1樓
180942,達義,桃園市平鎮區義民路199號1樓
180975,興豐,桃園市八德區興豐路418號
181026,榮躍,桃園市中壢區榮民南路462號464號
181141,桃捷,桃園市蘆竹區南山路三段98號100號1樓2樓
181222,東凌,桃園市八德區中正路112號116號
181347,興源,桃園市桃園區大興西路二段82號1樓
181462,航明,桃園市蘆竹區南山路二段497號1樓
181509,遠雄,桃園市大園區航翔路5之7號1樓
181554,盛烽,桃園市新屋區梅高路三段310之6號
181794,北崁,桃園市蘆竹區中正路85號87號89號1樓
182188,新武陵,桃園市桃園區上海路82號84號江南八街49號
182225,迎和,桃園市八德區金和路52號
182373,國藝,桃園市桃園區南平路185號187號1樓
182384,榮豐,桃園市八德區興豐路2168號
182487,寶勇,桃園市平鎮區湧光路455號457號459號1樓
182580,銅鑼圈,桃園市龍潭區中豐路高平段402之1號1樓
182775,航林,桃園市大園區三民路二段626號1樓
182801,南山北,桃園市蘆竹區南山北路二段426號1樓
182823,富丞,桃園市蘆竹區中正北路599號
182889,映竹,桃園市蘆竹區南竹路四段250號1樓
182937,美家,桃園市中壢區中北路34號36號1樓
183044,進三廠,桃園市蘆竹區長榮路168號6樓
183251,羿龍,桃園市中壢區龍慈路283號1樓
183273,貴族,桃園市桃園區南平路306號1樓
183527,振陞,桃園市龜山區振興路1301號1樓
183583,湖海,桃園市蘆竹區濱海路一段335號337號1樓
183653,桃全,桃園市桃園區中正路342號1樓2樓
183745,凱利,桃園市平鎮區延平路三段413號415號417號1樓
183974,萬能科,桃園市中壢區萬能路1之2號1樓
184058,合利,桃園市楊梅區楊湖路二段910號912號914號
184232,星宇,桃園市桃園區永安路739號1樓
184287,航站南,桃園市大園區航站南路15號B1樓
184298,航站北,桃園市大園區航站南路15號B1樓
184449,立揚,桃園市桃園區正光路116號1樓
184483,君富,桃園市桃園區富國路555號1樓
184601,技嘉,桃園市平鎮區南平路180之1號
184612,凌雲,桃園市龍潭區中豐路上林段358-1號
184656,千山,桃園市桃園區縣府路212號216號
184715,聖保祿,桃園市桃園區福安里建新街68號
184922,新九揚,桃園市龜山區復興一路264號1樓
185109,新壢智,桃園市中壢區興仁路二段57號1樓
185291,萬壽,桃園市龜山區萬壽路二段1057號1樓
185361,大楊,桃園市楊梅區楊湖路一段90號92號94號1樓
185431,桃匯,桃園市桃園區國際路二段557號559號1樓
185855,愿景,桃園市龜山區文化一路42號
185981,新楊埔,桃園市楊梅區中興路47號1樓新興街66號1樓
186021,東正,桃園市平鎮區平東路661號
186032,錦欣,桃園市蘆竹區南竹路一段63號1樓
186250,工業,桃園市中壢區吉林路131號1樓
186283,宏義,桃園市龜山區萬壽路一段378號380號1樓
186962,新達豐,桃園市桃園區延平路202號;大豐路194號
187002,巴頓,桃園市龜山區龍壽里萬壽路一段492號1樓
187301,新鎮興,桃園市平鎮區中興路平鎮段349號351號353號
187378,新雙安,桃園市桃園區安樂街48號50號1樓;安東街56號1樓
187390,八德建,桃園市八德區建國路165號
187585,鐵鎮,桃園市大園區中正東路二段428號
187633,曜駿,桃園市龍潭區中興路292號1樓
187725,湯華,桃園市中壢區中華路一段745號747號749號1樓
187873,富竹,桃園市蘆竹區南竹路二段313號1樓
187987,益志,桃園市桃園區樹仁三街102號
188027,大園港,桃園市大園區大觀路1088號
188038,城邦,桃園市桃園區樹仁三街81號83號85號1樓
188382,鑽石,桃園市龍潭區八德里梅龍路23鄰139號141號1樓
188511,民新,桃園市大園區民生南路167號
188566,民生北,桃園市龜山區民生北路一段54號1樓
188935,航園,桃園市大園區中正東路102號
188968,華薪,桃園市中壢區新中北路二段179號181號
189031,園頂,桃園市大溪區公園路111號115號
189053,德沅,桃園市八德區介壽路二段455號
189097,航榮,桃園市蘆竹區南崁路二段473號
189101,新龍壽,桃園市桃園區龍壽街20號
189156,領航,桃園市中壢區領航北路二段239號1樓
189592,松柏林,桃園市八德區介壽路二段685巷50弄2號1樓
189798,同德,桃園市桃園區中埔二街150號
189880,廣福,桃園市八德區廣福路16號
189927,成豐,桃園市中壢區元化路197巷3號1樓
190352,壢和,桃園市中壢區中和路114號
190710,德享,桃園市平鎮區南勢里14鄰中豐路南勢二段377號379號381號
190776,宏亞,桃園市桃園區中平路102號
190798,鎮豐,桃園市平鎮區南豐路99號
190857,華龍,桃園市龜山區萬壽路一段292號1樓龍華街2巷6號B1
192668,順舜,桃園市蘆竹區南順六街22號24號26號
192794,五福,桃園市蘆竹區五福一路202號1樓
192901,芮霖,桃園市蘆竹區中興路536之1號
192923,華壢,桃園市中壢區中華路一段288號290號1樓
192990,國仁,桃園市八德區建國路250號256號
