店號,店名,地址
113506,揚光,澎湖縣馬公市陽明里中華路175號1樓
113883,東衛,澎湖縣馬公市東衛里19鄰9之2號
120467,文澳,澎湖縣馬公市文山路53號1樓
130095,湖西,澎湖縣湖西鄉湖西村湖西140之1號
142869,澎衛,澎湖縣馬公市西衛里光復路408號
151391,鎖港,澎湖縣馬公市鎖港里鎖管港段1439號
153869,七美,澎湖縣七美鄉南港村南滬50號51號
153892,澎文,澎湖縣馬公市東文里文山路282號
166740,澎興,澎湖縣馬公市興仁里雙頭掛1之2號
181750,馬航,澎湖縣湖西鄉隘門村126之5號1樓(馬公航空站一樓航廈)
184140,北岸,澎湖縣馬公市西文里新店路359號1樓
188201,跨海,澎湖縣西嶼鄉合界村3-1號
195081,講美,澎湖縣白沙鄉講美村78號1樓
195483,南洋,澎湖縣馬公市新營路25號1樓
880590,澎灣,澎湖縣馬公市中華路56號
892571,天人菊,澎湖縣馬公市中央里仁愛路69號
900762,西衛,澎湖縣馬公市光榮里光復路297號
900795,白沙,澎湖縣白沙鄉赤崁村20鄰大赤崁351號1樓
901891,新澎湖,澎湖縣馬公市重慶里民權路98號
909574,石泉,澎湖縣馬公市石泉里1-300號
911083,永興順,澎湖縣湖西鄉隘門34之2號
922201,文光,澎湖縣馬公市光榮里三多路338號
930545,新台澎,澎湖縣馬公市中正路85號
941202,澎技,澎湖縣馬公市朝陽里三多路45號
941833,井垵,澎湖縣馬公市井垵里1-18號
951106,漁翁,澎湖縣西嶼鄉外垵村113號
981750,百麗,澎湖縣馬公市東文里新店路463號1號
987806,馬公,澎湖縣馬公市光復路59號
