店號,店名,地址
110312,林田山,花蓮縣鳳林鎮長橋里長橋路108號1樓
110415,豐濱,花蓮縣豐濱鄉三民村三民路61號1樓
111980,花農,花蓮縣花蓮市建國路236號238號1樓
112824,馬太鞍,花蓮縣光復鄉中山路一段125號
113056,蓮慶,花蓮縣花蓮市林森路160號1樓
113665,蓮慈,花蓮縣花蓮市中山路一段7號9號1樓
114288,崇德盈,花蓮縣秀林鄉崇德95-6號
116354,玉明,花蓮縣玉里鎮泰昌里中山路二段135號
116413,興玉,花蓮縣玉里鎮興國路二段23號
120272,星潭,花蓮縣花蓮市華西121-10及121-11號
120489,文景,花蓮縣吉安鄉中山路二段71-2號
120995,思瑀,花蓮縣花蓮市建國路二段862號及866號1樓
121057,吉野,花蓮縣花蓮市中正路65號1樓2樓
122027,上美崙,花蓮縣花蓮市府前路298號298之1號1樓
122935,豐川,花蓮縣花蓮市富強路214號216號
126661,八悅,花蓮縣壽豐鄉平和村中華路二段215號
131836,蓮圓,花蓮縣花蓮市中山路891號893號
132345,吉昌,花蓮縣吉安鄉吉安路一段114號
138745,蓮莊,花蓮縣新城鄉北埔村光復路462號
138941,精舍,花蓮縣新城鄉康樂村康樂路286號288號
147288,花道,花蓮縣花蓮市中正路563號1樓
151014,蓮昌,花蓮縣花蓮市建國路二段298號
151276,蓮恆,花蓮縣吉安鄉北昌村建國路一段51號
151287,新廉瀚,花蓮縣新城鄉新興路28號30號1樓
151737,蓮陽,花蓮縣吉安鄉吉安村中山路三段2號
151759,北埔,花蓮縣新城鄉北埔路282號
153375,玉里,花蓮縣玉里鎮中山路二段90號1樓
155256,天祥,花蓮縣秀林鄉富世村天祥17之1號
155511,鳳悅,花蓮縣鳳林鎮信義路216號1樓
165507,瑞權,花蓮縣瑞穗鄉瑞北路30之2號
166522,富集,花蓮縣花蓮市國富里富國路32號1樓
166821,豐坪,花蓮縣壽豐鄉豐坪村豐坪路二段5之1號1樓
173748,蓮安,花蓮縣吉安鄉中華路二段5號
174305,樂合,花蓮縣玉里鎮樂合里新民路13-1號
174350,愛民,花蓮縣花蓮市民國路22號
174899,讚福,花蓮縣花蓮市國聯五路55號
181288,玉富,花蓮縣玉里鎮大同路214號及光復路184號
183457,國盛,花蓮縣花蓮市國民九街56號58號1樓
183804,吉濱,花蓮縣吉安鄉南濱路一段651號
184829,富泰,花蓮縣花蓮市國聯一路55號
188289,愛田,花蓮縣吉安鄉建國路一段200號.202號
193775,興富,花蓮縣富里鄉中山路61號
194239,加灣,花蓮縣秀林鄉景美村加灣178之20號
196165,海星,花蓮縣新城鄉嘉新路63巷1號1樓
196626,吉華,花蓮縣吉安鄉中華路二段172號
198297,文瑞,花蓮縣壽豐鄉中山路222號1樓
198862,華原,花蓮縣花蓮市中華路426號
199371,新福興,花蓮縣吉安鄉福興村吉安路三段80號82號
199544,大豐田,花蓮縣壽豐鄉豐山村中山路201號203號1樓
206949,蓮和,花蓮縣秀林鄉和平村和平263號(台泥和平廠)
215105,蓮發,花蓮縣新城鄉北埔村7鄰北埔路172號
866310,蓮吉,花蓮縣吉安鄉中山路三段423號
871220,蓮冠,花蓮縣花蓮市中山路426號
872382,蓮美,花蓮縣花蓮市中美路209號
872740,蓮讚,花蓮縣花蓮市國聯里國聯三路16號18號
873385,蓮嘉,花蓮縣新城鄉嘉里村嘉里路155號157號
880073,太魯閣,花蓮縣秀林鄉富世村富世路152號152-1號
880671,志學,花蓮縣壽豐鄉志學村7鄰中山路三段6號
881951,鳳林,花蓮縣鳳林鎮鳳禮里中正路二段143號145號
891420,慈濟,花蓮縣花蓮市中央路三段808號810號
900072,東海岸,花蓮縣吉安鄉海岸路252號254號
902469,璞石閣,花蓮縣玉里鎮中山路一段96號
910965,新蓮信,花蓮縣花蓮市中美路186號
912972,慈勝,花蓮縣吉安鄉自強路52號
914060,蓮富,花蓮縣光復鄉中山路二段252號
920320,仁禮,花蓮縣吉安鄉南埔八街223號
920342,讚蓮,花蓮縣花蓮市富吉路2號
921529,名品,花蓮縣花蓮市國富里莊敬路72號
923019,稻香,花蓮縣吉安鄉稻香村吉興路二段46號
923134,統軒,花蓮縣花蓮市公園路7-1號
923293,瑞繐,花蓮縣瑞穗鄉中山路一段17號19號
932529,尚美,花蓮縣花蓮市中興路71號
943725,長勝,花蓮縣花蓮市中美路83-1號83-2號
943987,富鄉,花蓮縣富里鄉中山路167號
950723,華廈,花蓮縣花蓮市民享里府前路638號640號
952637,南濱,花蓮縣吉安鄉南濱路一段116號
954437,祥祐,花蓮縣新城鄉順安村北三棧119之6號
954817,吉海,花蓮縣吉安鄉海岸路683號
959177,如意,花蓮縣花蓮市中美路37號
966739,德安一,花蓮縣花蓮市德安一街307號
966968,好家園,花蓮縣花蓮市國聯一路2號2-1號
967558,富翔,花蓮縣吉安鄉東昌村海岸路77號
968551,新蓮盈,花蓮縣吉安鄉建國路二段285號1F
968850,姐妹,花蓮縣吉安鄉吉安路五段262之1號1F
977924,新壽豐,花蓮縣壽豐鄉中山路五段131號
978260,泰雅,花蓮縣秀林鄉和平村和平街156號
980137,鑫盈佳,花蓮縣花蓮市林森路258號1樓
981738,鑫花蓮,花蓮縣花蓮市中正路383號385號
985659,豐學,花蓮縣壽豐鄉平和村大學路二段596號
987747,蓮成,花蓮縣花蓮市中華路283之1號
991827,蓮華,花蓮縣花蓮市民生里中山路183-185號1樓
