店號,店名,地址
110666,天文,苗栗縣竹南鎮天文路176號
110758,頭屋,苗栗縣頭屋鄉尖豐路118號120號1樓
111854,布洛瓦,苗栗縣竹南鎮科東三路12號
112710,恭敬,苗栗縣苗栗市恭敬里恭敬路18號
112857,永和山,苗栗縣頭份市水源路206號1樓
113137,珊湖,苗栗縣頭份市中正三路271號1樓及親民路1號3號1樓
113366,福華,苗栗縣苗栗市福星里中華路273號
115867,鑫正發,苗栗縣苗栗市正發路196號
116169,竹南和,苗栗縣竹南鎮大埔里和興路191-1號
116480,豪麥,苗栗縣卓蘭鎮中山路48號之4
118028,苗鑫,苗栗縣苗栗市國華路1092號
120021,大山,苗栗縣後龍鎮大山里龍文路6號1樓
120401,鈞吉,苗栗縣頭份市成功里11鄰建國路198號1樓
120537,弘運,苗栗縣竹南鎮守法街3-2號3-3號3-5號1樓
121080,龍宸,苗栗縣竹南鎮營盤里博愛街367號1樓
121367,貞豪,苗栗縣頭份市永貞路一段128號1樓
121552,新華,苗栗縣頭份市中華路755號及民生街2號
122658,田野,苗栗縣南庄鄉員林村下員林2鄰68-10號
123422,中群,苗栗縣頭份市中正路319號1樓
130121,鑫龍,苗栗縣後龍鎮中山路53號
130512,龍日,苗栗縣後龍鎮溪洲里七鄰勝利路60之1號
130855,館源,苗栗縣苗栗市水源里11鄰水流娘15-3號1樓
130958,興德,苗栗縣頭份市文化街172號八德二路292號
131353,新和苑,苗栗縣苑裡鎮苑南里為公路4鄰16之1號1樓
137557,國豪,苗栗縣竹南鎮延平路170號
137638,客庄,苗栗縣苑裡鎮客庄里客庄90-20號
138516,新苑,苗栗縣苑裡鎮苑北里為公路70號
138837,廣沅,苗栗縣竹南鎮公義里公義路1683號1685號1樓
139368,竹南建,苗栗縣竹南鎮龍鳳里龍山路一段162號1樓
141143,象山,苗栗縣頭屋鄉象山村象山路239之1號
141154,大大,苗栗縣公館鄉大同路160號162號1樓
142397,頭興,苗栗縣頭份市中央路228號230號1樓
143367,苗栗,苗栗縣苗栗市民族路99號101號1樓
144854,建鑫,苗栗縣頭份市建國路86號1樓
148720,宏恩,苗栗縣頭份市中正路2號
153607,新雪霸,苗栗縣大湖鄉富興村1鄰水尾39號
155315,正合,苗栗縣頭份市中正一路58號1F
155533,東館,苗栗縣公館鄉五谷村12鄰71之1號1樓
158727,大銅,苗栗縣銅鑼鄉中正路6-25號
160203,頤和,苗栗縣苗栗市中正路55號1樓
164331,栗華,苗栗縣苗栗市中華路78號
164515,三灣,苗栗縣三灣鄉中正路255號與文化街13號
165242,苗谷,苗栗縣公館鄉五谷村200號
166290,苗栗高,苗栗縣後龍鎮新東路468號
166315,科七,苗栗縣竹南鎮科專七路396號1樓
167329,新卓蘭,苗栗縣卓蘭鎮興南街318號
167684,酒莊,苗栗縣大湖鄉富興村9鄰八寮灣2之11號
170554,頭份,苗栗縣頭份市中正路232號
173634,龍仁,苗栗縣頭份市中華路968-974號
174589,貞永,苗栗縣頭份市永貞路二段1號
175076,統寶,苗栗縣竹南鎮科中路12號B2
180104,龍躍,苗栗縣苗栗市新川里圓墩路28號
180344,大千,苗栗縣苗栗市中正路903號1樓
181037,通高,苗栗縣通霄鎮內湖里12鄰烏眉路308號
181679,圳營,苗栗縣竹南鎮中正路114號1樓
182351,光南,苗栗縣竹南鎮照南里光復路342號
182694,苗龍,苗栗縣後龍鎮造豐路333號
183918,科南,苗栗縣竹南鎮大埔里1鄰科學路243號
184368,科星,苗栗縣竹南鎮科專七路393號
