店號,店名,地址
116206,金冠,金門縣金湖鎮環島南路湖前段2號4號
142087,金央,金門縣金寧鄉伯玉路一段222之8號1樓
142858,風獅爺,金門縣金湖鎮瓊林里中山路8之6號1樓
152051,金誼,金門縣金城鎮南門里浯江北堤路100號
173977,小金,金門縣烈嶼鄉林湖村東林街156號
183871,中蘭,金門縣金沙鎮環島北路三段482號
186146,金生,金門縣金城鎮西門里民生路67.69號
193672,陽翟,金門縣金沙鎮光前里陽翟新興街23.23-1號
194192,鈦湖,金門縣金湖鎮新市里太湖路二段217號1樓
194631,得月樓,金門縣金城鎮金水里前水頭139-2號1樓
196693,金港,金門縣金城鎮西海路一段1號
199898,金囍,金門縣金湖鎮復興路115號.115-1號.115-2號.115-3號
215091,樂多,金門縣金寧鄉伯玉路二段229號
882921,金亮,"金門縣金城鎮民權路73號1F2F,75號1F2F,光前路85-2號1F.85-3號1F"
891970,金民,金門縣金城鎮民生路6號
903130,金東,金門縣金城鎮東門里民族路7號
923651,新山外,金門縣金湖鎮山外里復興西路2號
970037,新再發,金門縣金湖鎮復興路8號10號
970059,新沙美,金門縣金沙鎮汶沙里國中路2號
970820,金寧,金門縣金寧鄉環島北路一段711號
981598,金豪,金門縣金城鎮西海路三段1號3號5號1樓
992705,金石,金門縣金城鎮民權路192號196號1樓
