店號,店名,地址
110297,油車,雲林縣二崙鄉油車村文化路9號1樓
110600,冬念,雲林縣虎尾鎮埒內里林森路一段9鄰39號
110611,富來,雲林縣西螺鎮新豐里13鄰新社320-8號
110839,虎威,雲林縣虎尾鎮光復路122號1樓及成和街2號1樓
112558,夏恩,雲林縣虎尾鎮立仁里復興路137號
113296,東宇,雲林縣斗六市文化路538號540號1樓
114808,晟安,雲林縣莿桐鄉饒平村饒平路2之2號
115878,新台西,雲林縣台西鄉海南村民族路16-7號1樓
121828,晟泰,雲林縣虎尾鎮光復路521號
126568,斗高,雲林縣斗南鎮小東里17鄰大業路86號
128254,欣怡,雲林縣斗南鎮南昌里中山路79號
128265,新宗行,雲林縣虎尾鎮林森路二段240號1樓
128634,真嘉,雲林縣斗南鎮南昌西路1號
130202,永昌,雲林縣斗六市中山路269號
131858,宇宸,雲林縣虎尾鎮清雲路770號
131917,新東立,雲林縣斗六市成功路286號288號290號
132024,李斯特,雲林縣虎尾鎮興南里竹圍60號
138804,環科大,雲林縣斗六市鎮南路1221號1樓
139014,雲嘉,雲林縣斗南鎮新光里21鄰光華路231號
144153,豐樺,雲林縣西螺鎮福興里中山路70號1樓
151081,五條港,雲林縣台西鄉五港路420-1號
153766,保庄,雲林縣斗六市明德北路三段285號
153951,大埤,雲林縣大埤鄉南和村6鄰民生路32號
158613,元長,雲林縣元長鄉長南村7鄰中山路32-2號1F
170716,雲龍,雲林縣斗六市龍潭路14-1號
170875,東億,雲林縣虎尾鎮光明路3號
174073,東仁,雲林縣虎尾鎮光復路391號1樓
174154,朱丹灣,雲林縣斗六市西平路362號
174246,東尊,雲林縣虎尾鎮惠來里142-3號
174958,水林,雲林縣水林鄉水南村水林路157號159號
182579,大屯,雲林縣虎尾鎮西屯里大屯349號
182627,豐鎮,雲林縣西螺鎮平和南路352號
182993,宗聖,雲林縣北港鎮大同路511-1號
183930,昕美,雲林縣斗六市民生路170號
184151,聖淳,雲林縣四湖鄉四湖村15鄰環湖東路1號
184380,虎欣,雲林縣虎尾鎮林森路一段287.289.291號
184863,四湖,雲林縣四湖鄉村中山東路113號
185475,成苑,雲林縣斗六市莊敬路345號
185486,欣苑,雲林縣斗六市莊敬路345號1樓
189226,朝天宮,雲林縣北港鎮東華里中山路150號
190835,保長,雲林縣斗六市雲林路二段76號1樓
193292,福懋興,雲林縣斗六市石榴路317號
195461,羅威,雲林縣崙背鄉羅厝村東興路168-1號.168-2號
195944,昶景,雲林縣古坑鄉東和村文化路145號
196383,虎真,雲林縣虎尾鎮穎川里頂南398號
196741,萬中,雲林縣斗六市溪洲里中南路290巷1-1號
197571,雲醫,雲林縣斗六市雲林路二段627號
199142,工專,雲林縣虎尾鎮中正路307號
199337,雲桐,雲林縣莿桐鄉莿桐村中山路70號72號1樓
200332,永業,雲林縣西螺鎮振興里振興215號
200398,大琬,雲林縣大埤鄉中正路19號
206662,元祖,雲林縣元長鄉中山路4-100號
830698,富盟,雲林縣斗六市文化路304號306號
840101,土庫,雲林縣土庫鎮建國路164號
850119,北港,雲林縣北港鎮民主路106號
863551,麥寮,雲林縣麥寮鄉麥津村中山路196號
870870,長旺,雲林縣東勢鄉東勢東路84號
871839,崙背,雲林縣崙背鄉南光路3號
872522,興平,雲林縣西螺鎮中興里延平路418號420號
873400,民樂,雲林縣北港鎮華勝里28鄰民樂路39號
880567,福懋,雲林縣斗六市石榴路196之1號
881009,口湖,雲林縣口湖鄉中正路一段222號
881386,快來,雲林縣麥寮鄉橋頭村橋頭路234號
890793,六輕,雲林縣麥寮鄉中興村仁德西路二段567號1樓
896045,斗六,雲林縣斗六市大同路41號
901684,馬光,雲林縣土庫鎮南平里馬光路67號
902322,三井,雲林縣西螺鎮振興振興里振興路118號
911267,詠順,雲林縣斗六市鎮北路229號
912112,二崙,雲林縣二崙鄉崙東村中山路一段269號
920478,山好,雲林縣斗六市崙峰里仁義路52號1樓
920489,好家庭,雲林縣斗六市榴中里工業路69號
921068,新湖,雲林縣虎尾鎮林森路二段475號
922027,春流,雲林縣斗六市梅林里梅林路446號1樓
931652,世鑫,雲林縣口湖鄉崙東村中山路96-6號
931962,褒忠,雲林縣褒忠鄉中正路99號1樓
932437,大美,雲林縣莿桐鄉大美村大美53號1樓
942146,坤麟,雲林縣斗六市社口里大學路二段579號
943367,雲南,雲林縣斗南鎮中興路160號
943747,和心,雲林縣西螺鎮河南里埔心路113-3號
950860,育北,雲林縣斗六市明德北路一段110號
951922,麥鄉,雲林縣麥寮鄉中興路78-3號
952349,永茂,雲林縣麥寮鄉中興村豐安路951號1樓
952545,崙多,雲林縣崙背鄉東明村正義路194號
953445,虎大,雲林縣虎尾鎮工專路156號
954079,劍湖,雲林縣古坑鄉永昌村永興路145號
954297,新古坑,雲林縣古坑鄉中山路201號
958635,富登,雲林縣麥寮鄉施厝村239號
963062,景雄,雲林縣斗六市虎溪里西平路521號
967525,新林內,雲林縣林內鄉中正路373號375號
968115,北英,雲林縣北港鎮華勝里華勝路212號
968229,福懋科,雲林縣斗六市河南街319號
968665,安榮,雲林縣崙背鄉豐榮村1鄰豐榮32之3號
968676,虎高,雲林縣虎尾鎮延平里3鄰中南34之26號
968816,星光,雲林縣西螺鎮公正路15號
969060,麥豐,雲林縣麥寮鄉新興路27之5號
969071,三勝,雲林縣麥寮鄉三盛村仁德西路一段21號1樓
971096,晟業,雲林縣斗六市萬年路592號
971568,後安,雲林縣麥寮鄉後安村後安路201之13號
972114,寶宏,雲林縣斗南鎮文昌路99號
972505,崙中,雲林縣崙背鄉南陽村中山路489號
973025,新安慶,雲林縣虎尾鎮民主路52-1號
980045,于滿,雲林縣斗南鎮延平路二段581號1樓
982432,新莿桐,雲林縣莿桐鄉莿桐村中正路62-2號
982650,宜梧,雲林縣口湖鄉梧南村光明路31號1樓
990396,鑫斗商,雲林縣斗六市中華路207號209號1樓
990466,凱瑄,雲林縣斗南鎮西岐里大同路135號1樓
991920,廣濟,雲林縣古坑鄉東和村廣濟路78號78之1號
992071,慶生,雲林縣斗六市漢口路167號1樓
997906,晟興,雲林縣林內鄉九芎村大同路20號
998080,七崁,雲林縣西螺鎮建興路163號1樓2樓
998116,元東,雲林縣元長鄉下寮村東興路28號1樓
