店號,店名,地址
110068,鳳文,高雄市鳳山區文英里文衡路50號1樓
110769,信賢,高雄市新興區南港里七賢一路432號1樓
111382,圓興,高雄市旗山區旗甲路二段373號1樓
111739,勵志,高雄市岡山區筧橋路12號16號1樓
111832,新後昌,高雄市楠梓區錦屏里後昌路115號1樓
111843,學源,高雄市前鎮區三多二路437號439號441號1樓
112053,神農,高雄市林園區廣應里王公路341號343號
112260,新楠梓,高雄市楠梓區中陽里楠梓新路188號188-1號1樓
113090,統崙,高雄市鳳山區中民里中崙四路6號8號1樓
113481,復中,高雄市苓雅區興中一路138號
113621,新如東,高雄市三民區九如二路86號1樓
113768,大樹,高雄市大樹區樣腳里中興東路7號9號11號13號
113953,正心,高雄市苓雅區正大里輔仁路一段145號1樓
114196,鼓波,高雄市鼓山區臨海二路45-1號
114200,路好,高雄市路竹區大社路162號
114233,上芸,高雄市林園區西溪路133-30號
114602,港后,高雄市小港區平和路156號
115856,麗景,高雄市楠梓區清豐里旗楠路891號1樓
115889,武漢,高雄市苓雅區武漢街72號
115904,元隆,高雄市三民區正興里建元路58號1及2樓
115960,臨廣,高雄市前鎮區新生路248-45號
116608,觀亭,高雄市內門區觀亭里南屏路78號
116745,義發,高雄市大寮區義發路7號
117025,鳳南,高雄市鳳山區二甲里鳳南一路25號27號
117726,宏明,高雄市三民區本和里大福街211號213號
117911,樂民,高雄市楠梓區加昌里壽民路58號
118741,新漢北,高雄市小港區漢民路132號134號1樓
119618,達勇,高雄市三民區九如二路345-1號
120191,美藝,高雄市鼓山區龍水里美術東二路103號1樓
120250,秀昌,高雄市楠梓區後昌路858之2號1樓
120674,夢時代,高雄市前鎮區中華五路789號B2樓
121747,鳳城,高雄市鳳山區杭州西街111號1樓
121873,中都,高雄市三民區力行路248號
121965,客宭,高雄市鹽埕區建國四路312號
122485,來家,高雄市鳳山區新強里崗山北街36號38號1樓
122625,仁富,高雄市岡山區大仁路138號
122946,霖園,高雄市林園區鳳林路一段2號1樓
123374,六龜,高雄市六龜區義寶里光復路98號
123385,實大,高雄市內門區內南里大學路200號
124610,得富,高雄市仁武區八卦里八德西路246號
125831,友福,高雄市仁武區灣內里鳳仁路95之15號
126362,七老爺,高雄市鳳山區正義里鳳甲路491號493號
127099,愛萣,高雄市茄萣區仁愛路二段157號159號161號
127376,八卦寮,高雄市仁武區大灣里八德南路499號
127712,欣重文,高雄市左營區重愛路308號310號1樓
128003,河堤,高雄市三民區鼎泰里河堤路510號
128612,華堂,高雄市苓雅區廣澤里文橫二路41號
129040,德祥,高雄市楠梓區翠屏里德賢路246號
129051,鑫程,高雄市岡山區大德二路61號
129198,明星,高雄市新興區自立二路146號
130040,國城,高雄市三民區自立一路68號70號
130084,鎮興,高雄市前鎮區鎮興路170號
130246,尚義,高雄市新興區中正二路218號
130279,雄站,高雄市三民區港東里建國二路269號271號
130545,青雅,高雄市苓雅區青年一路6之8及6之9號
131102,桂安,高雄市小港區孔鳳路557號
131319,大坪頂,高雄市小港區坪頂里大平路192號196號1樓
131478,惠民,高雄市楠梓區翠屏里惠民路88號1樓
131489,中民,高雄市燕巢區中民路712號714號
131582,仁樂,高雄市仁武區仁武里仁和街36號
131696,路科,高雄市路竹區社南里大社路42號42之1號46號1樓
131766,五里林,高雄市橋頭區東林里里林東路20號
131892,園東,高雄市林園區東林西路1號3號5號
132138,鼎貴,高雄市三民區鼎貴路146號1樓
132150,太華,高雄市前金區成功一路455之1號
132183,新高榮,高雄市左營區福山里榮總路175號1樓
132208,元茗,高雄市路竹區中正路172號172之1號
132873,康德,高雄市前鎮區鎮興路8號1樓
135001,瑞福,高雄市左營區裕誠路285號287號
135263,文建,高雄市鳳山區文福里文化西路35號1樓
135274,林德,高雄市苓雅區林南里林德街37號1樓
135735,九曲堂,高雄市大樹區久堂里城隍巷15-8號
135746,新保泰,高雄市鳳山區鎮南里龍成路242-1號
135919,前中,高雄市大寮區自由路1號
135964,港東,高雄市三民區建國二路233號
136004,南華,高雄市鳳山區五甲二路232號
136266,旗海,高雄市旗津區中洲三路579號
136288,工協,高雄市鳳山區埤頂里建國路一段79號1樓
136532,翠屏,高雄市大社區中山路344號346號
136657,美澄,高雄市鳳山區文山里八德路二段116號
136680,鎮昌,高雄市前鎮區鎮海里鎮海路17號1樓
136727,新東專,高雄市湖內區湖東里中山路一段229號
136749,孔鳳,高雄市小港區孔宅里高鳳路332號
